"Index","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2003-10-30",22.2800006866455,22.2800006866455,20.7999992370605,21.1000003814697,1249800,11.5530223846436
"2003-10-31",21.0499992370605,21.1000003814697,20.1200008392334,20.1599998474121,256000,11.0383405685425
"2003-11-03",20.25,20.2999992370605,19.2600002288818,19.75,480800,10.8138475418091
"2003-11-04",19.7800006866455,20.1700000762939,19.75,19.9899997711182,449800,10.945258140564
"2003-11-05",20.0100002288818,20.0100002288818,19.7800006866455,19.8500003814697,296300,10.8686008453369
"2003-11-06",19.9400005340576,20.0699996948242,19.8199996948242,19.9099998474121,258600,10.9014568328857
"2003-11-07",19.9699993133545,20.1000003814697,19.9500007629395,20,154500,10.9507341384888
"2003-11-10",20.0400009155273,20.0499992370605,19.6000003814697,19.9599990844727,107700,10.9288301467896
"2003-11-11",19.9899997711182,20.25,19.9500007629395,20.0100002288818,121300,10.9562091827393
"2003-11-12",20.0499992370605,20.0499992370605,19.8999996185303,19.9500007629395,442500,10.9233551025391
"2003-11-13",19.8999996185303,20.3500003814697,19.6299991607666,19.9899997711182,176400,10.945258140564
"2003-11-14",20.0300006866455,20.2800006866455,19.9699993133545,20,209600,10.9507341384888
"2003-11-17",19.9500007629395,20.1000003814697,19.7900009155273,19.9400005340576,127100,10.9178838729858
"2003-11-18",19.9400005340576,20.2299995422363,19.6800003051758,20.1499996185303,733400,11.032865524292
"2003-11-19",20.1499996185303,20.2399997711182,19.7600002288818,20.1800003051758,470600,11.0492887496948
"2003-11-20",20.2399997711182,22,20.0599994659424,21.5,1730300,11.7720384597778
"2003-11-21",21.6200008392334,21.8799991607666,21.3799991607666,21.5,519400,11.7720384597778
"2003-11-24",21.3799991607666,21.7999992370605,21.2299995422363,21.5699996948242,754300,11.8103609085083
"2003-11-25",21.6800003051758,23.6299991607666,21.5699996948242,23.5,1659400,12.8671102523804
"2003-11-26",23.4899997711182,24.5100002288818,23.4500007629395,24.3099994659424,791800,13.3106155395508
"2003-11-28",24.3799991607666,24.9899997711182,24.1900005340576,24.8899993896484,219700,13.6281929016113
"2003-12-01",24.9899997711182,24.9899997711182,24.5,24.6900005340576,459500,13.5186796188354
"2003-12-02",24.8400001525879,24.8999996185303,24.4599990844727,24.7700004577637,384600,13.5624837875366
"2003-12-03",24.7600002288818,26.7999992370605,24.7600002288818,26,883200,14.235954284668
"2003-12-04",26.1800003051758,26.2900009155273,25.4799995422363,25.8500003814697,442300,14.1538238525391
"2003-12-05",26.0599994659424,26.0599994659424,25.3999996185303,25.6100006103516,321400,14.0224103927612
"2003-12-08",25.6000003814697,25.8700008392334,25.4699993133545,25.5300006866455,475500,13.978611946106
"2003-12-09",25.4200000762939,26,25.3700008392334,25.8700008392334,197100,14.1647729873657
"2003-12-10",26.1399993896484,26.1700000762939,25.8500003814697,26.1499996185303,363800,14.3180885314941
"2003-12-11",25.8500003814697,26.3500003814697,25.8500003814697,26.2600002288818,243300,14.3783159255981
"2003-12-12",26.3799991607666,27.6800003051758,26.2700004577637,27.6100006103516,634100,15.117486000061
"2003-12-15",27.8299999237061,28.25,26.9699993133545,27.1200008392334,585700,14.8491973876953
"2003-12-16",27.5400009155273,27.5900001525879,26.4300003051758,26.7199993133545,321300,14.6301803588867
"2003-12-17",26.7900009155273,26.7900009155273,25.9899997711182,26.5900001525879,447100,14.5590009689331
"2003-12-18",26.3099994659424,27.1000003814697,26.2399997711182,26.8700008392334,514100,14.7123069763184
"2003-12-19",26.9200000762939,27.4099998474121,26.6200008392334,27.2299995422363,204100,14.909420967102
"2003-12-22",27.2800006866455,27.4200000762939,26.8700008392334,26.9500007629395,408700,14.7561168670654
"2003-12-23",26.9500007629395,27.2000007629395,26.8899993896484,26.9599990844727,205700,14.7615871429443
"2003-12-24",27.1000003814697,27.1000003814697,26.5499992370605,26.7099990844727,71200,14.624701499939
"2003-12-26",26.8799991607666,27.5499992370605,26.6900005340576,27.5100002288818,183500,15.0627317428589
"2003-12-29",27.5300006866455,27.9899997711182,26.9599990844727,27.8500003814697,169300,15.2488985061646
"2003-12-30",27.8600006103516,28.1800003051758,27.6299991607666,28.1800003051758,232100,15.4295883178711
"2003-12-31",27.9899997711182,28.6100006103516,27.9899997711182,28.0100002288818,262500,15.3365001678467
"2004-01-02",28.0200004577637,28.5599994659424,27.9599990844727,28.3600006103516,161600,15.5281362533569
"2004-01-05",28.25,29.2199993133545,28,28.7000007629395,249200,15.7143068313599
"2004-01-06",28.75,28.75,27.8899993896484,28.2700004577637,519100,15.4788599014282
"2004-01-07",28.3500003814697,28.7600002288818,27.9400005340576,28.5200004577637,552800,15.6157464981079
"2004-01-08",28.5400009155273,29,28.3700008392334,28.3899993896484,306100,15.5445652008057
"2004-01-09",28.3099994659424,28.3500003814697,27.8500003814697,27.9200000762939,200800,15.287220954895
"2004-01-12",27.8500003814697,28.4500007629395,27.8500003814697,28.1000003814697,338200,15.3857831954956
"2004-01-13",28.2000007629395,28.2999992370605,27.5499992370605,27.5900001525879,629400,15.1065349578857
"2004-01-14",27.8999996185303,28.6399993896484,27.6000003814697,28.6299991607666,403700,15.6759757995605
"2004-01-15",28.3500003814697,28.6000003814697,28,28.1000003814697,233600,15.3857831954956
"2004-01-16",28.1200008392334,28.5900001525879,28.0599994659424,28.3400001525879,94800,15.5171842575073
"2004-01-20",28.2700004577637,28.9099998474121,28,28.6200008392334,316700,15.6704988479614
"2004-01-21",28.8299999237061,28.8299999237061,28.1599998474121,28.2399997711182,187300,15.4624366760254
