"symbol","close","close2","close3"
"AAPL",77.8349990844727,NA,97.7249984741211
"MSFT",163.179992675781,NA,208.039993286133
"AMZN",93.1009979248047,83.8304977416992,150.443496704102
"NVDA",61.3925018310547,54.0774993896484,102.272499084473
"GOOGL",71.9599990844727,55.5774993896484,75.8440017700195
"META",221.149993896484,154.470001220703,240.279998779297
"GOOG",71.9599990844727,55.7454986572266,75.681999206543
"TSLA",34.5666656494141,37.3699989318848,103.067329406738
"BRK-B",228.350006103516,175.970001220703,190.559997558594
"UNH",296.410003662109,250.410003662109,304.070007324219
"AVGO",303.140014648438,218.779998779297,313.779998779297
"LLY",141.110000610352,126.019996643066,165.449996948242
"JPM",136.720001220703,88.0500030517578,99.7300033569336
"V",199.800003051758,160.080001831055,196.550003051758
"XOM",69.0899963378906,37.1800003051758,44.6300010681152
"JNJ",147.009994506836,125.410003662109,148.259994506836
"MA",314.25,241.5,305.720001220703
"PG",125.959999084473,101.839996337891,124.5
"HD",224.589996337891,190.589996337891,257.799987792969
"ADBE",342.940002441406,285,433.010009765625
"COST",300.820007324219,279.850006103516,326.700012207031
"ABBV",89.2600021362305,78.6100006103516,100.480003356934
"MRK",87.3473281860352,71.0400772094727,75.8015289306641
"CVX",116.129997253418,76.2600021362305,88.8899993896484
"CRM",181.059997558594,140.589996337891,188.089996337891
"PEP",139.199996948242,115.339996337891,133.690002441406
"KO",56.7000007629395,47.1599998474121,46.4000015258789
"AMD",48.5499992370605,39.0099983215332,55.3400001525879
"BAC",34.6699981689453,20.5100002288818,24.6000003814697
"WMT",115.279998779297,104.050003051758,132
"ACN",207.259994506836,152.529998779297,219.759994506836
"MCD",209.770004272461,170.130004882812,191.770004272461
"NFLX",339.070007324219,315.25,523.260009765625
"CSCO",48.0099983215332,33.2000007629395,46.4000015258789
"TMO",335.200012207031,284.320007324219,392.700012207031
"LIN",211.440002441406,158.020004272461,237.630004882812
"INTC",58.939998626709,45.5400009155273,59.0299987792969
"ABT",87.379997253418,74.7399978637695,96.7300033569336
"CMCSA",46.2799987792969,34.939998626709,41.9599990844727
"WFC",48.3199996948242,27.2000007629395,25.3500003814697
"INTU",273,237.940002441406,289.970001220703
"DIS",144.320007324219,91.8099975585938,120.900001525879
"ORCL",54.7599983215332,39.7999992370605,56.6199989318848
"VZ",59.0999984741211,51.2000007629395,55.060001373291
"QCOM",89.6699981689453,67.0199966430664,92.5500030517578
"AMGN",241.699996948242,182.240005493164,253.309997558594
"PFE",38.5863380432129,28.4819736480713,33.8899421691895
"DHR",142.553192138672,114.264183044434,166.968078613281
"IBM",130.611862182617,98.2887191772461,117.5908203125
"NKE",102.790000915527,74.1999969482422,98.5400009155273
"TXN",129.169998168945,97.5299987792969,132.149993896484
"PM",88.3199996948242,72.25,75
"NOW",304.869995117188,262.119995117188,423.559997558594
"UNP",180.800003051758,132.050003051758,174.389999389648
"BA",329.799987792969,154.839996337891,187.940002441406
"SPGI",294.380004882812,221.460006713867,354.799987792969
"CAT",145.570007324219,92.2600021362305,138.360000610352
"HON",180.729995727539,134.850006103516,151.929992675781
"COP",65,28.2000007629395,41.6199989318848
"GE",74.1295852661133,45.1522254943848,44.5901641845703
"AMAT",61.9300003051758,45.1100006103516,62.0999984741211
"NEE",62.8950004577637,52.2224998474121,64.75
"LOW",119.519996643066,89.9199981689453,141.220001220703
"BKNG",2065.15991210938,1280.40002441406,1799.33996582031
"RTX",95.6324768066406,64.5059814453125,62.939998626709
"GS",245.210006713867,150.679992675781,216.899993896484
"PLD",92.2099990844727,70.1800003051758,93.7399978637695
"T",28.6027183532715,23.6631412506104,22.6661624908447
"ISRG",199.080001831055,152.509994506836,202.600006103516
"ELV",301.549987792969,256.209991455078,267.279998779297
"UPS",117.930000305176,86.1699981689453,119.209999084473
"SBUX",91.5400009155273,62.0999984741211,75.6100006103516
"MS",52.939998626709,31.3099994659424,51.3499984741211
"MDT",117.330001831055,84.4000015258789,97.1600036621094
"BLK",530.260009765625,386.220001220703,568.590026855469
"BMY",66.5800018310547,52.75,59.2700004577637
"TJX",61.7999992370605,49.3600006103516,52.6300010681152
"VRTX",234.149993896484,204.059997558594,295.109985351562
"DE",172.919998168945,130.389999389648,172.389999389648
"GILD",64.0999984741211,68.5800018310547,76.6500015258789
"AXP",129.820007324219,83.5299987792969,97.3600006103516
"LMT",420.950012207031,311.380004882812,364.559997558594
"SYK",206.75,154.25,188.619995117188
"MMC",112.209999084473,93,111.580001831055
"MDLZ",54.7400016784668,47.5099983215332,52.5699996948242
"SCHW",47.1199989318848,28.4300003051758,35.6599998474121
"ADP",172.809997558594,130.279998779297,148.600006103516
"AMT",235.380004882812,217.830001831055,257.269989013672
"LRCX",298.339996337891,237.850006103516,343.220001220703
"CVS",75.2699966430664,54.5999984741211,64.5800018310547
"ADI",117.51000213623,90.0100021362305,117.900001525879
"PANW",80.2333297729492,46.8499984741211,80.1666641235352
"C",81.2399978637695,43.2599983215332,51.8400001525879
"ETN",93.9000015258789,75.9199981689453,93.4000015258789
"PGR",75.7200012207031,69.620002746582,85.8899993896484
"REGN",390.75,431.890014648438,632.739990234375
"CB",151.289993286133,116.73999786377,132.800003051758
"ZTS",138.539993286133,120.279998779297,142.919998168945
"CI",208.229995727539,164.270004272461,181.039993286133
"MU",56.1699981689453,38.810001373291,50.5099983215332
"SNPS",147.910003662109,119.150001525879,194.350006103516
"BX",58.2299995422363,40.060001373291,56.0099983215332
"BSX",42.5699996948242,31,36.7000007629395
"TMUS",80.2699966430664,76.7600021362305,104.919998168945
