"Index","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2003-10-30",21.7488918304443,21.8098773956299,21.4172840118408,21.5506896972656,5485910,11.2291631698608
"2003-10-31",21.6497898101807,21.8746738433838,21.573558807373,21.7831954956055,4739763,11.3503103256226
"2003-11-03",21.7831954956055,21.9737758636475,21.6993408203125,21.7183990478516,6151250,11.3165473937988
"2003-11-04",21.745080947876,21.7755718231201,21.657413482666,21.7336444854736,7954438,11.3244876861572
"2003-11-05",21.7336444854736,21.9737758636475,21.3562984466553,21.9356594085693,5208860,11.4297513961792
"2003-11-06",21.947093963623,22.1071796417236,21.8136882781982,22.0728759765625,4807976,11.5012493133545
"2003-11-07",22.0995578765869,22.1834125518799,21.9394702911377,22.1529197692871,4664204,11.5429573059082
"2003-11-10",22.1071796417236,22.1681652069092,22.030948638916,22.0881214141846,4025887,11.5091924667358
"2003-11-11",22.0881214141846,22.0881214141846,21.6307315826416,21.6688480377197,6849648,11.2907257080078
"2003-11-12",21.8022537231445,21.8022537231445,21.6116733551025,21.7488918304443,5115723,11.3324384689331
"2003-11-13",21.8022537231445,21.9547176361084,21.7298336029053,21.9356594085693,2993769,11.4297513961792
"2003-11-14",21.8022537231445,22.0461940765381,21.7984428405762,21.847993850708,4465861,11.3840770721436
"2003-11-17",21.847993850708,21.847993850708,21.5621242523193,21.7870063781738,2852883,11.352297782898
"2003-11-18",21.8594264984131,21.947093963623,21.741268157959,21.7831954956055,4354097,11.3503103256226
"2003-11-19",21.8594264984131,21.9013557434082,21.7260227203369,21.7374572753906,6555020,11.3264789581299
"2003-11-20",21.745080947876,21.9127883911133,21.6497898101807,21.7488918304443,4591531,11.3324384689331
"2003-11-21",21.8784847259521,21.9051666259766,21.5011386871338,21.5163841247559,4920266,11.2112836837769
"2003-11-24",21.5163841247559,21.8136882781982,21.5087623596191,21.8060646057129,3899168,11.3622255325317
"2003-11-25",21.825122833252,21.9699630737305,21.6879062652588,21.8098773956299,3749099,11.3642129898071
"2003-11-26",21.9737758636475,21.9966430664062,21.7679481506348,21.8594264984131,5205974,11.3900365829468
"2003-11-28",21.8594264984131,21.8784847259521,21.5583114624023,21.6269207000732,4136864,11.2688808441162
"2003-12-01",21.8213119506836,22.1071796417236,21.7488918304443,22.0957450866699,6200836,11.5131692886353
"2003-12-02",22.0957450866699,22.5988731384277,22.0728759765625,22.3739910125732,8387854,11.6581525802612
"2003-12-03",22.404483795166,22.507396697998,22.2482089996338,22.2596435546875,6982139,11.5985670089722
"2003-12-04",22.2787017822266,22.7551498413086,22.2596435546875,22.7132225036621,7704936,11.8349151611328
"2003-12-05",22.774206161499,22.9381046295166,22.694164276123,22.8123226165771,5826713,11.8865509033203
"2003-12-08",22.8123226165771,22.8923664093018,22.7551498413086,22.8504390716553,4152081,11.9064064025879
"2003-12-09",22.4616565704346,23.1172504425049,22.4616565704346,22.964786529541,4997399,11.9659862518311
"2003-12-10",22.964786529541,23.048641204834,22.8504390716553,22.9724082946777,5119920,11.9699621200562
"2003-12-11",22.9571628570557,23.2506542205811,22.8161354064941,23.235408782959,5300423,12.1069984436035
"2003-12-12",23.1553649902344,23.3230743408203,23.0600757598877,23.2430324554443,4749470,12.1109743118286
"2003-12-15",23.2811489105225,23.3078289031982,22.964786529541,22.964786529541,4974574,11.9659862518311
"2003-12-16",22.9838447570801,23.3154525756836,22.9724082946777,23.235408782959,5447081,12.1069984436035
"2003-12-17",23.1591777801514,23.6661186218262,23.1591777801514,23.5670166015625,7213801,12.2797908782959
"2003-12-18",23.5822639465332,24.561840057373,23.5822639465332,24.375072479248,11584951,12.7008285522461
"2003-12-19",24.356014251709,24.356014251709,24.1044502258301,24.1768703460693,8486238,12.5975522994995
"2003-12-22",24.1806812286377,24.3369560241699,24.1578121185303,24.1844921112061,4687292,12.601523399353
