"Index","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2003-10-30",15.4875001907349,15.8125,15.375,15.6925001144409,7115200,10.5371417999268
"2003-10-31",15.6000003814697,15.7375001907349,15.5124998092651,15.6499996185303,4502400,10.5086078643799
"2003-11-03",15.8625001907349,15.9425001144409,15.7375001907349,15.9375,5940400,10.7016563415527
"2003-11-04",15.8374996185303,15.9075002670288,15.7849998474121,15.8424997329712,5545200,10.6378679275513
"2003-11-05",15.7875003814697,15.875,15.7524995803833,15.8275003433228,2899200,10.6277923583984
"2003-11-06",15.8500003814697,16.2325000762939,15.7749996185303,16.2325000762939,7787200,10.8997383117676
"2003-11-07",16.2325000762939,16.2875003814697,16.1499996185303,16.1749992370605,6009200,10.8611316680908
"2003-11-10",16.1499996185303,16.1625003814697,15.9724998474121,16.0450000762939,4383200,10.7738380432129
"2003-11-11",16.0424995422363,16.1124992370605,15.8900003433228,15.9075002670288,4851600,10.6815147399902
"2003-11-12",15.8500003814697,15.9575004577637,15.8500003814697,15.9499998092651,3726000,10.7100505828857
"2003-11-13",15.9499998092651,15.9975004196167,15.8625001907349,15.9899997711182,4225600,10.7369070053101
"2003-11-14",15.9925003051758,16.0874996185303,15.9750003814697,16.0650005340576,4798400,10.7872724533081
"2003-11-17",16.0650005340576,16.0650005340576,15.9200000762939,16.0149993896484,5780800,10.7536888122559
"2003-11-18",16.0049991607666,16.0499992370605,15.8249998092651,15.8299999237061,4733600,10.6294727325439
"2003-11-19",15.7875003814697,15.8675003051758,15.7250003814697,15.8325004577637,4158400,10.6311492919922
"2003-11-20",15.7799997329712,15.8999996185303,15.6999998092651,15.7600002288818,4295200,10.5824708938599
"2003-11-21",15.7425003051758,15.7674999237061,15.6949996948242,15.7650003433228,3610800,10.5858268737793
"2003-11-24",15.8500003814697,15.9399995803833,15.7674999237061,15.9399995803833,3706800,10.7033357620239
"2003-11-25",15.914999961853,15.9399995803833,15.7624998092651,15.8649997711182,4075600,10.6529750823975
"2003-11-26",15.9125003814697,15.9975004196167,15.8599996566772,15.9925003051758,2651600,10.7385911941528
"2003-11-28",15.9925003051758,16,15.9200000762939,15.9200000762939,1640400,10.689902305603
"2003-12-01",15.9799995422363,16.2124996185303,15.9274997711182,16.1949996948242,5298400,10.8745613098145
"2003-12-02",16.1499996185303,16.1725006103516,16.0699996948242,16.1350002288818,4934800,10.8342704772949
"2003-12-03",16.1000003814697,16.2224998474121,16.0750007629395,16.1900005340576,3080400,10.8712024688721
"2003-12-04",16.1924991607666,16.3425006866455,16.1774997711182,16.3125,5070400,10.9534606933594
"2003-12-05",16.3250007629395,16.625,16.3174991607666,16.3600006103516,5723200,10.9853534698486
"2003-12-08",16.2749996185303,16.3449993133545,16.2450008392334,16.3349990844727,4058000,11.0190801620483
"2003-12-09",16.3374996185303,16.5849990844727,16.3349990844727,16.5224990844727,5733200,11.1455640792847
"2003-12-10",16.5375003814697,16.6224994659424,16.4974994659424,16.6149997711182,4872000,11.2079582214355
"2003-12-11",16.6000003814697,16.7350006103516,16.5774993896484,16.7350006103516,4158400,11.2889127731323
"2003-12-12",16.6875,16.8400001525879,16.6399993896484,16.8274993896484,3721600,11.3513078689575
"2003-12-15",16.8274993896484,16.8875007629395,16.7000007629395,16.75,4500800,11.2990293502808
"2003-12-16",16.6375007629395,16.8125,16.6350002288818,16.7849998474121,3118400,11.3226404190063
"2003-12-17",16.7350006103516,16.9475002288818,16.6749992370605,16.9475002288818,3632000,11.4322557449341
"2003-12-18",16.9249992370605,17.0699996948242,16.8575000762939,16.9874992370605,5142400,11.4592370986938
"2003-12-19",16.9375,17.0349998474121,16.9150009155273,16.9650001525879,4294800,11.4440650939941
"2003-12-22",16.9624996185303,17.2000007629395,16.9500007629395,17.1574993133545,4018000,11.573917388916
"2003-12-23",17.0949993133545,17.1875,17.0375003814697,17.1525001525879,3508800,11.5705451965332
"2003-12-24",17.0949993133545,17.1975002288818,17.0599994659424,17.1399993896484,1250800,11.5621118545532
"2003-12-26",17.125,17.2399997711182,17.1200008392334,17.1774997711182,802400,11.5874128341675
"2003-12-29",17.2000007629395,17.3724994659424,17.1499996185303,17.3724994659424,3323200,11.7189493179321
"2003-12-30",17.3125,17.3474998474121,17.2350006103516,17.3125,2150800,11.6784734725952
"2003-12-31",17.2749996185303,17.375,17.2674999237061,17.3700008392334,2505200,11.7172622680664
"2004-01-02",17.3449993133545,17.3899993896484,17.1700000762939,17.2724990844727,4158000,11.6514940261841
"2004-01-05",17.2875003814697,17.3225002288818,17.2124996185303,17.3225002288818,2960400,11.6852197647095
