"Index","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2003-10-30",23.0100002288818,23.125,22.625,22.6399993896484,1112600,20.3710250854492
"2003-10-31",22.6399993896484,23.5949993133545,22.6399993896484,23.5249996185303,1328200,21.167350769043
"2003-11-03",24.6000003814697,24.6900005340576,23.5849990844727,23.5849990844727,1350000,21.2213268280029
"2003-11-04",23.5550003051758,23.7700004577637,23.3299999237061,23.3649997711182,716000,21.0233707427979
"2003-11-05",23.2649993896484,23.5249996185303,23.1949996948242,23.3549995422363,548000,21.0143718719482
"2003-11-06",23.4799995422363,23.5849990844727,23.2999992370605,23.5249996185303,647600,21.167350769043
"2003-11-07",23.5,24.0550003051758,23.4300003051758,23.9449996948242,828400,21.545238494873
"2003-11-10",23.9249992370605,24,23.6749992370605,23.7399997711182,438400,21.3607864379883
"2003-11-11",23.5750007629395,23.8250007629395,23.5249996185303,23.5849990844727,706200,21.2213268280029
"2003-11-12",23.625,24.3999996185303,23.625,24.3950004577637,1360400,21.9501533508301
"2003-11-13",24.4249992370605,25.1550006866455,24.375,24.9899997711182,1354400,22.4855175018311
"2003-11-14",25.1149997711182,25.4699993133545,25.0650005340576,25.1499996185303,807400,22.6294803619385
"2003-11-17",25.125,25.2600002288818,25.0849990844727,25.1900005340576,581600,22.6654663085938
"2003-11-18",25.3150005340576,25.5799999237061,25.1350002288818,25.3500003814697,611600,22.8094348907471
"2003-11-19",25.3549995422363,26.3600006103516,25.2250003814697,26.0900001525879,2155400,23.4752712249756
"2003-11-20",26,26.125,25.8400001525879,25.8600006103516,818200,23.2683219909668
"2003-11-21",25.9850006103516,25.9850006103516,25.7250003814697,25.8600006103516,672600,23.2683219909668
"2003-11-24",25.9850006103516,26.4300003051758,25.9750003814697,26.3400001525879,813400,23.7002143859863
"2003-11-25",26.3400001525879,26.375,26.1849994659424,26.3250007629395,987800,23.6867275238037
"2003-11-26",26.25,26.7350006103516,26.2250003814697,26.6000003814697,837400,23.9705810546875
"2003-11-28",26.6749992370605,26.9150009155273,26.6749992370605,26.8850002288818,237600,24.2274074554443
"2003-12-01",26.7749996185303,26.9300003051758,26.5849990844727,26.9300003051758,1071200,24.2679748535156
"2003-12-02",26.8250007629395,27.1599998474121,26.8250007629395,27.1499996185303,872800,24.466215133667
"2003-12-03",27.25,27.375,26.6499996185303,26.6499996185303,780000,24.0156383514404
"2003-12-04",26.3999996185303,26.6000003814697,26.3500003814697,26.5799999237061,522000,23.9525661468506
"2003-12-05",26.5799999237061,27.1000003814697,26.4650001525879,26.9500007629395,924800,24.2859802246094
"2003-12-08",26.8500003814697,26.8500003814697,26.2099990844727,26.5349998474121,1280400,23.9120101928711
"2003-12-09",26.625,26.8899993896484,26.4050006866455,26.7950000762939,1033200,24.146312713623
"2003-12-10",26.7250003814697,26.7600002288818,26.25,26.2999992370605,613800,23.7002391815186
"2003-12-11",26.1499996185303,26.6000003814697,26.1499996185303,26.3999996185303,819400,23.7903575897217
"2003-12-12",26.375,26.375,25.5499992370605,25.9349994659424,1039400,23.3713245391846
"2003-12-15",26,26.125,25.4349994659424,25.4899997711182,783600,22.970308303833
"2003-12-16",25.6000003814697,25.8999996185303,25.4750003814697,25.8999996185303,712800,23.3397750854492
"2003-12-17",25.8999996185303,25.8999996185303,25.4599990844727,25.625,1369400,23.0919628143311
"2003-12-18",25.6599998474121,26.3999996185303,25.6599998474121,26.3799991607666,1111600,23.7723350524902
