"Index","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2006-05-25",4.03000020980835,4.60500001907349,4.01999998092651,4.59999990463257,395343000,4.22849225997925
"2006-05-26",4.63000011444092,4.67399978637695,4.41099977493286,4.49300003051758,103044000,4.13013172149658
"2006-05-30",4.49700021743774,4.4980001449585,4.28499984741211,4.40000009536743,49898000,4.04464292526245
"2006-05-31",4.43499994277954,4.53599977493286,4.43499994277954,4.49399995803833,30002000,4.13105154037476
"2006-06-01",4.49300003051758,4.80999994277954,4.48999977111816,4.75099992752075,62344000,4.3672981262207
"2006-06-02",4.84999990463257,4.86999988555908,4.67899990081787,4.69899988174438,37253000,4.31949663162231
"2006-06-05",4.70499992370605,4.92500019073486,4.69999980926514,4.91499996185303,37188000,4.51805067062378
"2006-06-06",4.9980001449585,5.06300020217896,4.78000020980835,4.82999992370605,49045000,4.43991470336914
"2006-06-07",4.83300018310547,4.84000015258789,4.67500019073486,4.76000022888184,25013000,4.37556886672974
"2006-06-08",4.76000022888184,4.77199983596802,4.55000019073486,4.77199983596802,34439000,4.38660144805908
"2006-06-09",4.88000011444092,4.88000011444092,4.76800012588501,4.77799987792969,13372000,4.3921160697937
"2006-06-12",4.80000019073486,4.82499980926514,4.63000011444092,4.69500017166138,14546000,4.31582021713257
"2006-06-13",4.61999988555908,4.7350001335144,4.53000020980835,4.55000019073486,16716000,4.18252658843994
"2006-06-14",4.48999977111816,4.54500007629395,4.44399976730347,4.51200008392334,15971000,4.1475977897644
"2006-06-15",4.53999996185303,4.61199998855591,4.51300001144409,4.59499979019165,16500000,4.22389268875122
"2006-06-16",4.55000019073486,4.59999990463257,4.5,4.5019998550415,12280000,4.13840389251709
"2006-06-19",4.54500007629395,4.54500007629395,4.40999984741211,4.43400001525879,11509000,4.07589673995972
"2006-06-20",4.47399997711182,4.5,4.34700012207031,4.40199995040894,23792000,4.04648303985596
"2006-06-21",4.40199995040894,4.58799982070923,4.40000009536743,4.53000020980835,18063000,4.16414499282837
"2006-06-22",4.6399998664856,4.69500017166138,4.58799982070923,4.65999984741211,13038000,4.2836446762085
"2006-06-23",4.69899988174438,4.79300022125244,4.68699979782104,4.69500017166138,11612000,4.31582021713257
"2006-06-26",4.69500017166138,4.75,4.64300012588501,4.75,8565000,4.36637687683105
"2006-06-27",4.75,4.80299997329712,4.72499990463257,4.73099994659424,9826000,4.34890985488892
"2006-06-28",4.68499994277954,4.73999977111816,4.65000009536743,4.69600009918213,8756000,4.31673669815063
"2006-06-29",4.69500017166138,4.80900001525879,4.69500017166138,4.80000019073486,14470000,4.4123387336731
"2006-06-30",4.7649998664856,4.80000019073486,4.65999984741211,4.80000019073486,25964000,4.4123387336731
"2006-07-03",4.78999996185303,4.80000019073486,4.68100023269653,4.73000001907349,7029000,4.34799242019653
"2006-07-05",4.73999977111816,4.78399991989136,4.6710000038147,4.76000022888184,13266000,4.37556886672974
"2006-07-06",4.72499990463257,4.7350001335144,4.67899990081787,4.67999982833862,8097000,4.30202960968018
"2006-07-07",4.67500019073486,4.68499994277954,4.57499980926514,4.61199998855591,8380000,4.23952341079712
