"Index","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2013-01-02",34.9199981689453,35.4000015258789,34.0999984741211,35.1199989318848,13767900,22.4198360443115
"2013-01-03",35,35,34.1599998474121,34.8300018310547,16739300,22.2347087860107
"2013-01-04",34.6199989318848,34.8899993896484,34.25,34.3899993896484,21372100,21.9538154602051
"2013-01-07",34.1500015258789,35.4500007629395,34.1500015258789,34.4599990844727,17897100,21.9985027313232
"2013-01-08",34.2900009155273,34.6399993896484,33.3600006103516,33.7099990844727,17863300,21.519718170166
"2013-01-09",33.6100006103516,33.9500007629395,33.6100006103516,33.9000015258789,18800400,21.6410121917725
"2013-01-10",33.6599998474121,34,33.3300018310547,34,15658100,21.7048530578613
"2013-01-11",33.5900001525879,33.9000015258789,33.3499984741211,33.8499984741211,11191500,21.8663425445557
"2013-01-14",34.0099983215332,34.25,33.7999992370605,34.0900001525879,11584900,22.0213851928711
"2013-01-15",33.7099990844727,34.7200012207031,33.7099990844727,34.5999984741211,13040200,22.350830078125
"2013-01-16",34.4700012207031,35.5400009155273,34.4500007629395,35.5400009155273,16512700,22.9580516815186
"2013-01-17",35.75,36.7000007629395,35.75,36.4199981689453,14424800,23.5265045166016
"2013-01-18",36.4300003051758,37.3199996948242,36.0400009155273,37.3199996948242,17842200,24.1078929901123
"2013-01-22",36.9799995422363,37.25,35.9300003051758,36.4199981689453,15809700,23.5265045166016
"2013-01-23",36.9099998474121,37.8400001525879,36.5,37.7999992370605,10981600,24.4179534912109
"2013-01-24",37.7900009155273,38.5200004577637,37.2299995422363,37.4599990844727,11327100,24.1983242034912
"2013-01-25",37.5200004577637,37.8400001525879,36.6399993896484,37.5999984741211,8934600,24.2887535095215
"2013-01-28",37.6500015258789,37.8699989318848,36.7099990844727,36.8899993896484,7140100,23.8301105499268
"2013-01-29",36.7099990844727,37.4599990844727,36.25,37.310001373291,8838500,24.1014289855957
"2013-01-30",36.810001373291,37.5299987792969,36.810001373291,36.9300003051758,10841800,23.8559532165527
"2013-01-31",36.8400001525879,36.9300003051758,36.2700004577637,36.689998626709,10720700,23.7009239196777
"2013-02-01",36.8400001525879,37.2000007629395,36.5200004577637,37.1800003051758,9527500,24.0174503326416
"2013-02-04",36.6399993896484,37.2999992370605,36.5499992370605,37.2799987792969,6348000,24.0820465087891
"2013-02-05",37.4199981689453,37.7299995422363,37.1800003051758,37.2000007629395,7284400,24.0303726196289
"2013-02-06",36.9599990844727,37.2799987792969,36.8600006103516,37.1399993896484,5738900,23.9916152954102
"2013-02-07",37.5699996948242,37.5699996948242,35.7999992370605,36.4199981689453,9872500,23.5265045166016
"2013-02-08",36.3699989318848,36.4199981689453,35.8300018310547,36.25,13858700,23.4166965484619
"2013-02-11",36.1300010681152,36.1800003051758,35.75,35.8499984741211,6032100,23.1582946777344
"2013-02-12",35.7700004577637,35.9000015258789,35.2000007629395,35.4199981689453,7473800,22.8805351257324
"2013-02-13",35.4199981689453,35.5699996948242,35.1500015258789,35.2700004577637,4859800,22.783634185791
"2013-02-14",35.0499992370605,36.7299995422363,35.0099983215332,36.5699996948242,7570100,23.6234073638916
"2013-02-15",36.9300003051758,37.810001373291,36.9300003051758,37.5800018310547,13296300,24.2758464813232
"2013-02-19",37.5400009155273,38.3300018310547,37.1100006103516,38.189998626709,8292700,24.6698932647705
"2013-02-20",38.1599998474121,39.1300010681152,37.6100006103516,38.6100006103516,8096400,24.941198348999
"2013-02-21",38.4900016784668,39.0299987792969,38.189998626709,38.7799987792969,7260900,25.0510215759277
"2013-02-22",38.7900009155273,38.8499984741211,38.1399993896484,38.4599990844727,4490400,24.8443050384521
"2013-02-25",38.5400009155273,38.6100006103516,37.3699989318848,37.3699989318848,4665600,24.1401824951172
"2013-02-26",37.5999984741211,37.5999984741211,36.9599990844727,37.0900001525879,4463000,23.9593143463135
"2013-02-27",36.9700012207031,36.9799995422363,36.4000015258789,36.7299995422363,12238400,23.7267627716064
"2013-02-28",36.6599998474121,37.1399993896484,36.5,36.9199981689453,10321000,23.8494911193848
