"symbol","close","close2"
"AAPL",165.300003051758,189.949996948242
"MSFT",330.589996337891,378.910003662109
"AMZN",175.353500366211,146.089996337891
"NVDA",326.760009765625,467.700012207031
"GOOGL",141.897506713867,132.529998779297
"META",324.459991455078,327.149993896484
"GOOG",142.451995849609,133.919998168945
"TSLA",381.586669921875,240.080001831055
"BRK-B",276.690002441406,360
"UNH",444.220001220703,552.969970703125
"AVGO",553.679992675781,925.72998046875
"LLY",248.039993286133,591.039978027344
"JPM",158.830001831055,156.080001831055
"V",193.770004272461,256.679992675781
"XOM",59.8400001525879,102.73999786377
"JNJ",155.929992675781,154.660003662109
"MA",314.920013427734,413.829986572266
"PG",144.580001831055,153.520004272461
"HD",400.609985351562,313.489990234375
"ADBE",669.849975585938,611.010009765625
"COST",539.380004882812,592.739990234375
"ABBV",115.279998779297,142.389999389648
"MRK",74.9100036621094,102.480003356934
"CVX",112.870002746582,143.600006103516
"CRM",284.959991455078,251.899993896484
"PEP",159.779998779297,168.289993286133
"KO",52.4500007629395,58.439998626709
"AMD",158.369995117188,121.160003662109
"BAC",44.4700012207031,30.4899997711182
"WMT",140.630004882812,155.690002441406
"ACN",357.399993896484,333.140014648438
"MCD",244.600006103516,281.839996337891
"NFLX",641.900024414062,473.970001220703
"CSCO",54.8400001525879,48.3800010681152
"TMO",632.830017089844,495.760009765625
"LIN",318.140014648438,413.769989013672
"INTC",49.2000007629395,44.7000007629395
"ABT",125.769996643066,104.290000915527
"CMCSA",49.9799995422363,41.8899993896484
"WFC",47.7799987792969,44.5900001525879
"INTU",652.299987792969,571.460021972656
"DIS",144.899993896484,92.6900024414062
"ORCL",90.7399978637695,116.209999084473
"VZ",50.2700004577637,38.3300018310547
"QCOM",180.559997558594,129.050003051758
"AMGN",198.880004882812,269.640014648438
"PFE",53.7299995422363,30.4699993133545
"DHR",285.141845703125,223.309997558594
"IBM",117.099998474121,158.559997558594
"NKE",169.240005493164,110.269996643066
"TXN",192.369995117188,152.710006713867
"PM",85.9400024414062,93.3600006103516
"NOW",647.700012207031,685.739990234375
"UNP",235.639999389648,225.270004272461
"BA",197.850006103516,231.630004882812
"SPGI",455.730010986328,415.829986572266
"CAT",193.350006103516,250.720001220703
"HON",202.240005493164,195.919998168945
"COP",70.129997253418,115.569999694824
"GE",74.1530075073242,121.800003051758
"AMAT",147.190002441406,149.779998779297
"NEE",86.7799987792969,58.5099983215332
"LOW",244.589996337891,198.830001831055
"BKNG",2101.85009765625,3125.69995117188
"RTX",80.9199981689453,81.4800033569336
"GS",380.989990234375,341.540008544922
"PLD",150.75,114.930000305176
"T",17.2432022094727,16.5699996948242
"ISRG",324.339996337891,310.839996337891
"ELV",406.230010986328,479.489990234375
"UPS",198.369995117188,151.610000610352
"SBUX",109.639999389648,99.3000030517578
"MS",94.8199996948242,79.3399963378906
"MDT",106.699996948242,79.2699966430664
"BLK",904.609985351562,751.22998046875
"BMY",53.6300010681152,49.3800010681152
"TJX",69.4000015258789,88.1100006103516
"VRTX",186.940002441406,354.809997558594
"DE",345.540008544922,364.410003662109
"GILD",68.9300003051758,76.5999984741211
"AXP",152.300003051758,170.770004272461
"LMT",333.320007324219,447.769989013672
"SYK",236.630004882812,296.329986572266
"MMC",164.020004272461,199.419998168945
"MDLZ",58.939998626709,71.0599975585938
"SCHW",77.3899993896484,61.3199996948242
"ADP",230.889999389648,229.919998168945
"AMT",262.480010986328,208.779998779297
"LRCX",679.849975585938,715.919982910156
"CVS",89.0599975585938,67.9499969482422
"ADI",180.25,183.380004882812
"PANW",182.313339233398,295.089996337891
"C",63.7000007629395,46.0999984741211
"ETN",162.059997558594,227.690002441406
"PGR",92.9400024414062,164.029998779297
"REGN",636.530029296875,823.809997558594
"CB",179.470001220703,229.429992675781
"ZTS",222.039993286133,176.669998168945
"CI",191.899993896484,262.880004882812
"MU",84,76.120002746582
"SNPS",341,543.22998046875
"BX",141.449996948242,112.370002746582
"BSX",38.0699996948242,55.8899993896484
"TMUS",108.809997558594,150.449996948242
"FI",96.5199966430664,130.610000610352
"SO",61.0999984741211,70.9800033569336
"KLAC",408.130004882812,544.619995117188
"CME",220.520004272461,218.360000610352
"EQIX",812.200012207031,815.010009765625
"DUK",97.0100021362305,92.2799987792969
"CDNS",177.460006713867,273.269989013672
"MO",42.6399993896484,42.0400009155273
"SHW",331.239990234375,278.799987792969
"SLB",28.6800003051758,52.0400009155273
"BDX",231.356094360352,236.179992675781
"ICE",130.720001220703,113.839996337891
"ITW",232.149993896484,242.210006713867
"NOC",348.799987792969,475.160003662109
"EOG",87,123.069999694824
"AON",295.769989013672,328.489990234375
"PYPL",184.889999389648,57.6100006103516
"CSX",34.6599998474121,32.2999992370605
"USB",55.3400001525879,38.1199989318848
"WM",160.669998168945,170.990005493164
"CL",75.0199966430664,78.7699966430664
"CMG",1643.41003417969,2202.25
"TGT",243.839996337891,133.809997558594
"FDX",230.369995117188,258.829986572266
"MCK",216.759994506836,470.559997558594
"ABNB",172.539993286133,126.339996337891
"MCO",390.640014648438,364.959991455078
"HUM",419.709991455078,484.859985351562
"APD",287.440002441406,270.549987792969
"ORLY",638.159973144531,982.380004882812
"MPC",60.8499984741211,149.190002441406
"ROP",464.149993896484,538.25
"PNC",197,133.960006713867
"LULU",454.410003662109,446.799987792969
"GD",188.970001220703,246.970001220703
"ANET",124.059997558594,219.710006713867
"MMM",170.039993286133,99.0699996948242
"APH",80.5800018310547,90.9899978637695
"NXPI",223.360000610352,204.080001831055
"PSX",69.1699981689453,128.889999389648
