"Index","BBWI.Open","BBWI.High","BBWI.Low","BBWI.Close","BBWI.Volume","BBWI.Adjusted"
"2003-10-30",14.0582046508789,14.2279710769653,13.8480186462402,13.9854488372803,2084964,5.13639068603516
"2003-10-31",13.9854488372803,14.3088121414185,13.9854488372803,14.2279710769653,1825565,5.22546100616455
"2003-11-03",14.2279710769653,14.4704933166504,14.1875505447388,14.3815679550171,2176378,5.28187131881714
"2003-11-04",14.2683906555176,14.3492317199707,14.0662889480591,14.1552143096924,1555033,5.19873952865601
"2003-11-05",14.1552143096924,14.3088121414185,13.9046077728271,14.1632976531982,1513222,5.20170879364014
"2003-11-06",14.1632976531982,14.5432500839233,13.9450283050537,14.5189981460571,3255289,5.33234596252441
"2003-11-07",14.5189981460571,14.5513343811035,14.2522230148315,14.2683906555176,1777693,5.2403073310852
"2003-11-10",14.2764749526978,14.2845592498779,14.0824575424194,14.1794662475586,1528561,5.20764684677124
"2003-11-11",14.1794662475586,14.3573160171509,13.9046077728271,14.0662889480591,1833358,5.16607999801636
"2003-11-12",14.0662889480591,14.2764749526978,13.9854488372803,14.2764749526978,1829399,5.24327421188354
"2003-11-13",14.1552143096924,14.5513343811035,13.9854488372803,14.5513343811035,2919320,5.34422206878662
"2003-11-14",14.4704933166504,14.9232006072998,14.2279710769653,14.3896522521973,3258382,5.28484106063843
"2003-11-17",14.3896522521973,14.3896522521973,13.9207763671875,14.10671043396,1432570,5.18092727661133
"2003-11-18",14.1471300125122,14.3330640792847,14.10671043396,14.10671043396,1699267,5.18092727661133
"2003-11-19",14.0824575424194,14.1956348419189,13.9854488372803,14.139045715332,3316768,5.19280195236206
"2003-11-20",14.3411483764648,14.616005897522,14.1875505447388,14.4300727844238,4100408,5.29968690872192
"2003-11-21",14.5513343811035,14.6402587890625,14.2522230148315,14.3411483764648,8026027,5.26702833175659
"2003-11-24",14.4300727844238,14.5351657867432,14.3492317199707,14.3896522521973,3199748,5.28484106063843
"2003-11-25",14.4300727844238,14.7049312591553,14.3815679550171,14.5513343811035,3261598,5.34422206878662
"2003-11-26",14.6321754455566,14.6321754455566,14.1552143096924,14.3168964385986,1558744,5.25811862945557
"2003-11-28",14.3654003143311,14.5351657867432,14.3249797821045,14.4866609573364,680474,5.32046985626221
"2003-12-01",14.6240911483765,14.7049312591553,14.4947452545166,14.6645107269287,3386164,5.38578701019287
"2003-12-02",14.5513343811035,14.5998382568359,14.3734836578369,14.438157081604,1826802,5.302659034729
"2003-12-03",14.3734836578369,14.6968469619751,14.2926425933838,14.6968469619751,3914734,5.42805480957031
"2003-12-04",14.6564273834229,14.6887626647949,13.9207763671875,14.2603073120117,4661263,5.26682758331299
