"Index","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"2003-10-30",19.546667098999,19.5555553436279,19.2355556488037,19.3111114501953,711675,15.995509147644
"2003-10-31",19.3288898468018,19.5377788543701,19.3288898468018,19.5022220611572,886275,16.1538047790527
"2003-11-03",19.5066661834717,19.6800003051758,19.4933338165283,19.6577777862549,573075,16.2826557159424
"2003-11-04",19.5777778625488,19.5777778625488,19.351110458374,19.4755554199219,827325,16.1317176818848
"2003-11-05",19.4711112976074,19.4755554199219,19.2577781677246,19.351110458374,687150,16.028636932373
"2003-11-06",19.3555564880371,19.4222221374512,19.2044448852539,19.351110458374,615825,16.028636932373
"2003-11-07",19.4222221374512,19.4488887786865,19.3555564880371,19.3822212219238,1013850,16.054407119751
"2003-11-10",19.3199996948242,19.4577789306641,19.271110534668,19.4088897705078,938700,16.0764980316162
"2003-11-11",19.3955554962158,19.4400005340576,19.3244438171387,19.4400005340576,1237500,16.1022701263428
"2003-11-12",19.4400005340576,19.5955562591553,19.3999996185303,19.5777778625488,1185525,16.2163829803467
"2003-11-13",19.6044445037842,19.7022228240967,19.5599994659424,19.6888885498047,718200,16.3084239959717
"2003-11-14",19.6444435119629,19.7777786254883,19.5733337402344,19.6088886260986,577575,16.2421627044678
"2003-11-17",19.5555553436279,19.6000003814697,19.3822212219238,19.5777778625488,875475,16.2163829803467
"2003-11-18",19.5111103057861,19.6888885498047,19.3999996185303,19.4177780151367,437850,16.0838565826416
"2003-11-19",19.5200004577637,19.6177787780762,19.3999996185303,19.5599994659424,462375,16.2016620635986
"2003-11-20",19.4488887786865,19.6177787780762,19.3955554962158,19.4355564117432,403200,16.0985851287842
"2003-11-21",19.4888896942139,19.5555553436279,19.4177780151367,19.4488887786865,403425,16.1096229553223
"2003-11-24",19.4133338928223,19.5599994659424,19.3822212219238,19.4044437408447,885825,16.0728130340576
"2003-11-25",19.4577789306641,19.6222229003906,19.3733329772949,19.5822219848633,503775,16.220064163208
"2003-11-26",19.5733337402344,19.6444435119629,19.4444446563721,19.6311111450195,529425,16.2605667114258
"2003-11-28",19.6311111450195,19.6577777862549,19.5688896179199,19.6000003814697,166500,16.234790802002
"2003-12-01",19.6755561828613,19.9644432067871,19.6399993896484,19.8622226715088,579375,16.4519882202148
"2003-12-02",19.7955551147461,19.8711109161377,19.7111110687256,19.7955551147461,761400,16.3967800140381
"2003-12-03",19.8755569458008,19.9599990844727,19.7866668701172,19.8355560302734,845550,16.4299087524414
"2003-12-04",19.8888893127441,19.911111831665,19.7866668701172,19.804443359375,774225,16.4041366577148
"2003-12-05",19.7999992370605,19.8711109161377,19.6533336639404,19.6711101531982,412425,16.2937030792236
"2003-12-08",19.6711101531982,19.831111907959,19.6666679382324,19.7777786254883,354150,16.3820533752441
"2003-12-09",19.8444442749023,19.8444442749023,19.6444435119629,19.6577777862549,436275,16.2826557159424
"2003-12-10",19.6577777862549,19.7111110687256,19.5955562591553,19.6888885498047,807975,16.3084239959717
"2003-12-11",19.7466678619385,19.9688892364502,19.6977787017822,19.9511108398438,611325,16.5256309509277
"2003-12-12",19.9333324432373,20.0622215270996,19.9022216796875,19.9822216033936,548325,16.5513916015625
"2003-12-15",20.1333332061768,20.1333332061768,19.6711101531982,19.6755561828613,688950,16.2973785400391
"2003-12-16",19.7111110687256,19.9466667175293,19.6000003814697,19.9466667175293,676350,16.5219421386719
"2003-12-17",19.9733333587646,19.9733333587646,19.6977787017822,19.8622226715088,461700,16.4519882202148
"2003-12-18",19.8622226715088,19.9955558776855,19.7822227478027,19.9822216033936,375300,16.5513916015625
"2003-12-19",20,20,19.7422218322754,20,956700,16.5661144256592
"2003-12-22",20,20,19.8133335113525,19.8355560302734,681300,16.4299087524414
"2003-12-23",19.8799991607666,19.9555568695068,19.8577785491943,19.9022216796875,429075,16.48512840271
"2003-12-24",19.9022216796875,19.9155559539795,19.8222217559814,19.8933334350586,225450,16.4777641296387
"2003-12-26",19.9777774810791,19.9955558776855,19.7911109924316,19.8222217559814,143325,16.4188632965088
"2003-12-29",19.8088893890381,20.0755558013916,19.7644443511963,20.0444431304932,355275,16.6029148101807
