"Index","PANW.Open","PANW.High","PANW.Low","PANW.Close","PANW.Volume","PANW.Adjusted"
"2012-07-20",18.3833332061768,20.6900005340576,17.7000007629395,17.7099990844727,21048300,17.7099990844727
"2012-07-23",17.533332824707,18,17.033332824707,17.1700000762939,2365200,17.1700000762939
"2012-07-24",17.3333320617676,18.6666679382324,17.1733322143555,18.5,2150400,18.5
"2012-07-25",18.8333320617676,19.6666679382324,18.4333324432373,19.6499996185303,1799100,19.6499996185303
"2012-07-26",19.9266662597656,20.6166667938232,19.3600006103516,19.9599990844727,1283400,19.9599990844727
"2012-07-27",20.2933330535889,20.2933330535889,19,19,460200,19
"2012-07-30",18.953332901001,18.953332901001,17.9733333587646,18.3333320617676,829200,18.3333320617676
"2012-07-31",18.3333320617676,19.046667098999,17.4033336639404,19.046667098999,856200,19.046667098999
"2012-08-01",19.5733337402344,19.5733337402344,18.3799991607666,18.7266674041748,332700,18.7266674041748
"2012-08-02",18.5599994659424,20,17.7566661834717,18.3666667938232,498000,18.3666667938232
"2012-08-03",18.8833332061768,18.966667175293,18.0833320617676,18.2633323669434,872700,18.2633323669434
"2012-08-06",18.5666675567627,18.6399993896484,17.8933334350586,18.2600002288818,468900,18.2600002288818
"2012-08-07",18.3333320617676,19.1466674804688,18.1733322143555,18.9333324432373,1097400,18.9333324432373
"2012-08-08",18.7333335876465,20.3333320617676,18.6233329772949,20.3099994659424,1511700,20.3099994659424
"2012-08-09",20.3333320617676,20.8199996948242,19.953332901001,20.4433326721191,878100,20.4433326721191
"2012-08-10",20.3333320617676,21.3233337402344,20.1633338928223,20.4400005340576,855300,20.4400005340576
"2012-08-13",20.3666667938232,21.0266666412354,20,20.9066677093506,666000,20.9066677093506
"2012-08-14",21.3766670227051,21.453332901001,19.7766666412354,19.9333324432373,1421100,19.9333324432373
"2012-08-15",19.8666667938232,20.966667175293,19.2333335876465,20.9099998474121,761400,20.9099998474121
"2012-08-16",21.1666679382324,22.3033332824707,20.6233329772949,22.1666679382324,1115400,22.1666679382324
"2012-08-17",22.3666667938232,22.8333320617676,21.6133327484131,22.4300003051758,1153800,22.4300003051758
"2012-08-20",22.2600002288818,22.3833332061768,21.6566677093506,21.8233337402344,810000,21.8233337402344
"2012-08-21",21.8266677856445,22.1433334350586,21.0933322906494,21.4400005340576,742800,21.4400005340576
"2012-08-22",21.6866664886475,21.7233333587646,21.0400009155273,21.0833320617676,373800,21.0833320617676
"2012-08-23",21.0666675567627,21.6266670227051,20.8333320617676,21.3799991607666,645900,21.3799991607666
"2012-08-24",21.1499996185303,21.9233322143555,21.0833320617676,21.5900001525879,608700,21.5900001525879
"2012-08-27",21.6833324432373,21.9466667175293,20.8733329772949,21.2299995422363,531000,21.2299995422363
"2012-08-28",21.2333335876465,21.4699993133545,20.9699993133545,21.2999992370605,312600,21.2999992370605
"2012-08-29",21.4066677093506,21.7000007629395,21.033332824707,21.5766677856445,486000,21.5766677856445
"2012-08-30",21.5699996948242,22.2233333587646,21.0900001525879,21.1433334350586,689700,21.1433334350586
"2012-08-31",21.4933338165283,21.5266666412354,21.033332824707,21.4599990844727,276900,21.4599990844727
"2012-09-04",21.7666664123535,23.4266662597656,21.2999992370605,23.4033336639404,2303400,23.4033336639404
"2012-09-05",24.203332901001,24.203332901001,23.0400009155273,23.3333320617676,1419000,23.3333320617676
"2012-09-06",23.5699996948242,24,23.4599990844727,23.8033332824707,674400,23.8033332824707
"2012-09-07",24.0533332824707,24.0733337402344,23.1200008392334,23.5799999237061,1769700,23.5799999237061
"2012-09-10",23.8366661071777,24.2000007629395,23.7099990844727,23.9166679382324,4154700,23.9166679382324
"2012-09-11",22.25,23.2466678619385,21.4433326721191,22.2000007629395,9077400,22.2000007629395
"2012-09-12",22.5599994659424,22.75,21.5833320617676,21.6200008392334,2067300,21.6200008392334
"2012-09-13",21.5833320617676,22.7433338165283,21.5833320617676,22.6599998474121,2302500,22.6599998474121
"2012-09-14",22.8633327484131,22.9899997711182,22.2933330535889,22.3299999237061,1274100,22.3299999237061
