"Index","K.Open","K.High","K.Low","K.Close","K.Volume","K.Adjusted"
"2003-10-30",31.2206573486328,31.4929580688477,31.0798110961914,31.3521137237549,1563527,16.2670631408691
"2003-10-31",30.7699527740479,31.1267604827881,30.6103286743164,31.1079807281494,2222442,16.1403942108154
"2003-11-03",31.8779335021973,32.7793426513672,31.8122062683105,32.7699546813965,3076146,17.00270652771
"2003-11-04",32.7699546813965,32.7699546813965,32.3286361694336,32.4882621765137,1686534,16.8565540313721
"2003-11-05",32.6760559082031,32.7136154174805,32.046947479248,32.4882621765137,1286733,16.8565540313721
"2003-11-06",32.3661956787109,32.5070419311523,32.0657272338867,32.3849754333496,870744,16.8029651641846
"2003-11-07",32.3849754333496,33.0328636169434,32.3004684448242,33.0328636169434,1557669,17.1391201019287
"2003-11-10",33.3427238464355,33.4084510803223,32.7887306213379,32.8638496398926,1863644,17.0514297485352
"2003-11-11",32.8638496398926,32.948356628418,32.6760559082031,32.9107971191406,1052646,17.0757865905762
"2003-11-12",32.8638496398926,33.2206573486328,32.5633811950684,33.0422554016113,1015265,17.1439971923828
"2003-11-13",33.0422554016113,33.2206573486328,32.8169021606445,33.1737098693848,1010259,17.2122001647949
"2003-11-14",33.0798110961914,33.2676048278809,32.9389686584473,33.2300453186035,802265,17.2414264678955
"2003-11-17",33.2300453186035,33.3333320617676,32.9295768737793,33.1924896240234,1044765,17.2219371795654
"2003-11-18",33.1173706054688,33.2300453186035,32.892017364502,32.9859161376953,996521,17.1147575378418
"2003-11-19",32.8638496398926,33.2394371032715,32.8638496398926,33.1361503601074,1509957,17.1927127838135
"2003-11-20",33.1924896240234,33.2206573486328,32.948356628418,33.004695892334,698960,17.1245002746582
"2003-11-21",33.1549301147461,33.417839050293,32.8732376098633,33.2676048278809,982676,17.2609176635742
"2003-11-24",33.3333320617676,33.7558708190918,33.1924896240234,33.7089195251465,1201001,17.489896774292
"2003-11-25",33.2769966125488,33.6525802612305,33.107982635498,33.5586853027344,1211651,17.5436191558838
"2003-11-26",33.7089195251465,33.7089195251465,33.0985908508301,33.3427238464355,812276,17.4307136535645
"2003-11-28",33.2206573486328,33.6056327819824,33.0985908508301,33.5868530273438,463914,17.5583400726318
"2003-12-01",33.3333320617676,33.6431922912598,33.1361503601074,33.6244125366211,899286,17.5779724121094
"2003-12-02",33.4272308349609,33.5868530273438,33.3239440917969,33.5492973327637,719727,17.5387077331543
"2003-12-03",33.5023460388184,33.953052520752,33.4366188049316,33.6807518005371,890447,17.6074295043945
"2003-12-04",33.7558708190918,33.943660736084,33.6431922912598,33.8497657775879,764138,17.6957836151123
"2003-12-05",33.8497657775879,34.0187797546387,33.6619720458984,33.9154930114746,786077,17.7301464080811
"2003-12-08",33.9154930114746,34.1220664978027,33.9154930114746,34.056339263916,2361212,17.8037776947021
"2003-12-09",34.2065734863281,34.2535209655762,34.0657272338867,34.1408462524414,1009407,17.8479537963867
"2003-12-10",34.1408462524414,34.1408462524414,33.474178314209,33.5117378234863,1358514,17.5190677642822
"2003-12-11",33.5117378234863,33.8028182983398,33.5023460388184,33.6995315551758,826121,17.6172428131104
"2003-12-12",33.7746467590332,33.7746467590332,33.474178314209,33.6338043212891,572331,17.5828876495361
"2003-12-15",34.1784057617188,34.5727691650391,34.1032867431641,34.2723007202148,1461287,17.916675567627
"2003-12-16",34.0375595092773,34.4319267272949,33.953052520752,34.3755874633789,1081827,17.9706707000732
"2003-12-17",34.6009407043457,34.6009407043457,33.6525802612305,33.6525802612305,1270758,17.592700958252
"2003-12-18",33.6338043212891,34.6666679382324,33.474178314209,34.5727691650391,2088785,18.0737495422363
"2003-12-19",34.6478881835938,34.7417831420898,34.2816886901855,34.5070419311523,1703787,18.0393924713135
"2003-12-22",34.6948356628418,34.7511749267578,34.5539894104004,34.6197166442871,1057865,18.0983028411865
"2003-12-23",34.6197166442871,35.1924896240234,34.6197166442871,35.1173706054688,1082679,18.3584575653076
"2003-12-24",35.2018775939941,35.4460105895996,35.1173706054688,35.3521118164062,744222,18.4811763763428
"2003-12-26",35.3615036010742,35.5586853027344,35.3333320617676,35.4929580688477,463701,18.5548076629639
"2003-12-29",35.4929580688477,35.6807518005371,35.4460105895996,35.6150245666504,961908,18.6186218261719
"2003-12-30",35.4460105895996,36.0187797546387,35.4366188049316,35.953052520752,886187,18.7953243255615
"2003-12-31",35.953052520752,36.2159614562988,35.6150245666504,35.7558708190918,1048812,18.6922473907471
"2004-01-02",35.6619720458984,35.9061012268066,35.3708915710449,35.4929580688477,881075,18.5548076629639
"2004-01-05",35.6995315551758,35.9154930114746,35.4366188049316,35.9154930114746,1201320,18.7756977081299
"2004-01-06",35.7089195251465,35.8967132568359,35.4460105895996,35.5680732727051,877454,18.5940685272217
"2004-01-07",35.4460105895996,35.474178314209,34.9201889038086,35.3145523071289,1231992,18.461540222168
"2004-01-08",35.2582168579102,35.5962448120117,35.1643180847168,35.5117378234863,752955,18.5646133422852
"2004-01-09",35.3615036010742,35.4929580688477,35.1643180847168,35.1643180847168,764990,18.3829975128174
"2004-01-12",35.1643180847168,35.577465057373,35.0892028808594,35.4647903442383,936668,18.5400810241699
"2004-01-13",35.4647903442383,35.6056327819824,34.7511749267578,35.0798110961914,1105044,18.3388233184814
"2004-01-14",35.2112693786621,35.8403778076172,35.2112693786621,35.7558708190918,1168838,18.6922473907471
"2004-01-15",35.5868530273438,35.5868530273438,34.995304107666,35.0234756469727,1371294,18.3093681335449
"2004-01-16",35.3333320617676,35.6713638305664,35.051643371582,35.577465057373,1250204,18.5989837646484
"2004-01-20",35.3427238464355,35.521125793457,35.0140838623047,35.1549301147461,1127835,18.3780918121338
"2004-01-21",35.0328636169434,35.577465057373,35.0234756469727,35.5492973327637,1115694,18.5842456817627
"2004-01-22",35.5023460388184,35.5023460388184,35.1830978393555,35.3521118164062,802158,18.4811763763428
"2004-01-23",35.474178314209,35.6244125366211,35.2769966125488,35.5586853027344,738578,18.589168548584
"2004-01-26",35.5868530273438,35.9154930114746,35.5868530273438,35.7840385437012,1085342,18.7069759368896
"2004-01-27",35.8873252868652,35.990608215332,35.6619720458984,35.6901397705078,962228,18.6578769683838
"2004-01-28",35.5399055480957,35.990608215332,35.5399055480957,35.6807518005371,780539,18.6529731750488
"2004-01-29",35.6901397705078,36.3661956787109,35.6807518005371,36.0938987731934,2102523,18.868953704834
"2004-01-30",36.009391784668,36.0375595092773,35.4929580688477,35.5023460388184,1328162,18.5597095489502
"2004-02-02",35.0234756469727,35.6713638305664,35.0234756469727,35.2676048278809,1537008,18.4370002746582
"2004-02-03",35.1173706054688,35.1830978393555,34.7417831420898,34.9295768737793,1930952,18.2602787017822
"2004-02-04",34.9765243530273,35.6431922912598,34.8826293945312,35.4460105895996,1335191,18.5302619934082
"2004-02-05",35.5868530273438,35.5868530273438,35.2769966125488,35.417839050293,1209308,18.515531539917
"2004-02-06",35.4272308349609,35.7840385437012,35.2112693786621,35.7276992797852,1188647,18.6775169372559
"2004-02-09",35.6150245666504,35.8591537475586,35.3896713256836,35.8215942382812,809933,18.7266082763672
"2004-02-10",35.7746467590332,36.1126747131348,35.7370872497559,36.1032867431641,1225496,18.8738689422607
"2004-02-11",36.1032867431641,36.469482421875,36.0187797546387,36.3380279541016,1307820,18.9965877532959
"2004-02-12",36.1502342224121,36.2816886901855,35.9154930114746,36.1971817016602,614292,18.9229545593262
"2004-02-13",36.6103286743164,36.6103286743164,35.7652587890625,36.1408462524414,548156,18.8934993743896
"2004-02-17",36.2347412109375,36.478874206543,36.1502342224121,36.2535209655762,573716,18.9524040222168
"2004-02-18",36.3661956787109,36.4319267272949,36.1314544677734,36.3004684448242,663602,18.976957321167
"2004-02-19",36.478874206543,36.478874206543,36.2441291809082,36.3849754333496,766055,19.0211277008057
"2004-02-20",36.478874206543,36.7230033874512,36.3755874633789,36.5727691650391,1267031,19.1192932128906
"2004-02-23",36.4037551879883,36.478874206543,36.2723007202148,36.478874206543,1140935,19.0702095031738
"2004-02-24",36.3380279541016,36.7230033874512,36.2910804748535,36.5070419311523,1077993,19.0849456787109
"2004-02-25",36.7793426513672,36.995304107666,36.6384963989258,36.7230033874512,1547445,19.1978416442871
"2004-02-26",36.6197166442871,36.7136154174805,36.4600944519043,36.7136154174805,1206219,19.1929302215576
"2004-02-27",36.6478881835938,37.2394371032715,36.5727691650391,37.0798110961914,1156484,19.3843669891357
"2004-03-01",36.7605628967285,37.4460105895996,36.7605628967285,37.3990592956543,1357449,19.55126953125
"2004-03-02",37.0985908508301,37.2394371032715,36.8075103759766,37.0422554016113,1350846,19.4966239929199
"2004-03-03",37.0422554016113,37.2394371032715,36.8732376098633,37.1455383300781,945188,19.5509872436523
"2004-03-04",36.9765243530273,37.0422554016113,36.7699546813965,36.9201889038086,800454,19.4323768615723
"2004-03-05",36.7511749267578,36.995304107666,36.7323951721191,36.9014091491699,1063829,19.4224872589111
"2004-03-08",36.892017364502,37.0892028808594,36.7699546813965,36.9201889038086,660300,19.4323768615723
"2004-03-09",36.7323951721191,37.2863845825195,36.6760559082031,37.0234756469727,1007703,19.486743927002
"2004-03-10",37.004695892334,37.3708915710449,37.004695892334,37.2300453186035,1212396,19.5954685211182
"2004-03-11",37.1361503601074,37.1361503601074,36.5539894104004,36.7136154174805,1531151,19.3236503601074
"2004-03-12",36.6197166442871,37.1361503601074,36.3098602294922,37.1361503601074,1135077,19.5460510253906
