"Index","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2003-10-30",29.9850006103516,30.2399997711182,29.8500003814697,30.0750007629395,3785800,20.323278427124
"2003-10-31",29.9500007629395,30.375,29.7999992370605,30.3099994659424,3601000,20.4820747375488
"2003-11-03",30.2649993896484,30.4300003051758,30,30.2250003814697,2458400,20.4246463775635
"2003-11-04",30.2450008392334,30.75,30.2000007629395,30.6000003814697,3617200,20.6780433654785
"2003-11-05",30.5249996185303,30.7350006103516,30.4150009155273,30.6700000762939,2206800,20.7253532409668
"2003-11-06",30.6000003814697,30.9899997711182,30.0550003051758,30.9599990844727,1827800,20.921314239502
"2003-11-07",30.9750003814697,31.0949993133545,30.3850002288818,30.4099998474121,2101000,20.549654006958
"2003-11-10",30.4099998474121,30.5499992370605,30.1599998474121,30.2000007629395,1486000,20.4077472686768
"2003-11-11",30.1849994659424,30.4249992370605,29.9200000762939,29.9699993133545,2472200,20.2523250579834
"2003-11-12",29.9699993133545,30.8850002288818,29.9699993133545,30.8299999237061,2527800,20.833475112915
"2003-11-13",30.8299999237061,31.5,30.625,31.4850006103516,2876200,21.2760944366455
"2003-11-14",31.4500007629395,31.8950004577637,30.9750003814697,31.0149993896484,3307400,20.9584846496582
"2003-11-17",31.0149993896484,31.0200004577637,30,30.2649993896484,4083800,20.4516696929932
"2003-11-18",30.3899993896484,30.8649997711182,30.2250003814697,30.2450008392334,2404800,20.4381580352783
"2003-11-19",30.0249996185303,30.2299995422363,29.9200000762939,30.0699996948242,3063600,20.3199005126953
"2003-11-20",29.9449996948242,30.2800006866455,29.7999992370605,29.8299999237061,2564600,20.1577205657959
"2003-11-21",29.9500007629395,29.9799995422363,29.6000003814697,29.8150005340576,2940400,20.1475772857666
"2003-11-24",29.9400005340576,30.125,29.8850002288818,30.1000003814697,3645000,20.3401794433594
"2003-11-25",31.5,31.5499992370605,30.625,30.7199993133545,6969000,20.7591342926025
"2003-11-26",30.75,30.8299999237061,30.2199993133545,30.5499992370605,2616600,20.6442623138428
"2003-11-28",30.625,30.7950000762939,30.6149997711182,30.6149997711182,1339200,20.6881866455078
"2003-12-01",30.7399997711182,30.9449996948242,30.5499992370605,30.8400001525879,3500200,20.8402194976807
"2003-12-02",30.8600006103516,30.8600006103516,30.3250007629395,30.3250007629395,2723000,20.4922161102295
"2003-12-03",30.6049995422363,30.8299999237061,30.375,30.3999996185303,2219800,20.542911529541
"2003-12-04",30.4400005340576,30.5,30.1650009155273,30.4750003814697,2448800,20.593578338623
"2003-12-05",30.5,31.25,30.5,31.0049991607666,3321400,20.9517250061035
"2003-12-08",31.0499992370605,31.25,30.7849998474121,31.1749992370605,1704400,21.0666084289551
"2003-12-09",31.25,31.4099998474121,30.9249992370605,31.0200004577637,2147000,20.9618682861328
"2003-12-10",31.0200004577637,31.0550003051758,30.5849990844727,30.7450008392334,1511600,20.7760391235352
"2003-12-11",30.7749996185303,31.2600002288818,30.7000007629395,31.2600002288818,2574800,21.1240463256836
"2003-12-12",31.3299999237061,31.4750003814697,31.0499992370605,31.1700000762939,3031200,21.0632266998291
"2003-12-15",31.25,31.8999996185303,31.25,31.2600002288818,2674200,21.1240463256836
"2003-12-16",31.3250007629395,32.1749992370605,31.2350006103516,32.0050010681152,3169200,21.627477645874
"2003-12-17",32,32.939998626709,31.8799991607666,32.7849998474121,4942200,22.1545658111572
"2003-12-18",32.7249984741211,33.5900001525879,32.5999984741211,33.3250007629395,4559000,22.5194778442383
"2003-12-19",33.3300018310547,33.7050018310547,33.0200004577637,33.5499992370605,3737200,22.6715145111084
"2003-12-22",33.1749992370605,33.5999984741211,33.1749992370605,33.5,2743800,22.6377353668213
"2003-12-23",33.4500007629395,33.6100006103516,33.2999992370605,33.5200004577637,1709600,22.6512393951416
"2003-12-24",32.5,33,32.0950012207031,32.25,4997200,21.7930450439453
"2003-12-26",32.25,32.3699989318848,32.1450004577637,32.1599998474121,1841800,21.7322254180908
"2003-12-29",32.125,32.689998626709,32.0699996948242,32.25,3758400,21.8678398132324
"2003-12-30",32.25,32.3499984741211,32.1199989318848,32.3300018310547,2456200,21.9220848083496
"2003-12-31",32.2900009155273,32.5950012207031,32.2449989318848,32.5250015258789,2081400,22.0543174743652
"2004-01-02",32.4749984741211,32.625,32.0750007629395,32.1500015258789,2742600,21.8000335693359
"2004-01-05",32.4749984741211,32.5900001525879,31.8449993133545,32.1949996948242,4821800,21.8305473327637
"2004-01-06",32.1749992370605,32.1749992370605,31.1749992370605,31.2999992370605,6572600,21.2236671447754
"2004-01-07",31.3449993133545,32.3250007629395,31.3449993133545,32.0999984741211,7934800,21.7661209106445
"2004-01-08",32.4749984741211,32.4749984741211,31.7250003814697,31.8700008392334,3325000,21.6101722717285
"2004-01-09",31.7999992370605,32.1300010681152,31.6149997711182,31.7150001525879,2210400,21.5050659179688
"2004-01-12",31.8250007629395,32.4700012207031,31.7199993133545,32.375,3169800,21.9525947570801
"2004-01-13",32.4150009155273,32.8499984741211,32.2249984741211,32.5849990844727,3565200,22.0949897766113
"2004-01-14",32.5900001525879,32.8300018310547,32.5400009155273,32.8050003051758,2178000,22.2441654205322
"2004-01-15",32.8499984741211,33.125,32.7649993896484,33.0149993896484,2508000,22.3865699768066
"2004-01-16",32.9749984741211,32.9850006103516,32.0849990844727,32.4300003051758,4903800,21.9898910522461
"2004-01-20",32.5,32.6450004577637,32.2200012207031,32.314998626709,2976000,21.9119091033936
"2004-01-21",32.314998626709,33.0050010681152,32.2249984741211,32.935001373291,2805800,22.3323173522949
"2004-01-22",33,33.4000015258789,33,33.2000007629395,3210200,22.5120048522949
"2004-01-23",33.2999992370605,33.4249992370605,33.0099983215332,33.1650009155273,1936000,22.4882774353027
"2004-01-26",33.1650009155273,33.5,33.1349983215332,33.5,2325600,22.7154312133789
"2004-01-27",33.5,33.5950012207031,32.875,32.9500007629395,3474200,22.342493057251
"2004-01-28",32.9000015258789,33,31.8899993896484,31.9300003051758,3566400,21.6508464813232
"2004-01-29",32.2000007629395,32.2599983215332,30.7399997711182,31.0550003051758,5809600,21.0575428009033
"2004-01-30",31.0750007629395,31.3950004577637,30.9400005340576,31.2999992370605,3114800,21.2236671447754
"2004-02-02",31.2999992370605,31.4599990844727,30.5650005340576,31.2399997711182,5021200,21.1829795837402
"2004-02-03",31.1499996185303,31.1499996185303,30.8449993133545,30.9750003814697,2441400,21.0032901763916
"2004-02-04",30.5750007629395,30.7250003814697,30.125,30.4950008392334,4874600,20.6778202056885
"2004-02-05",30.3999996185303,30.9850006103516,30,30.6900005340576,3856200,20.8100433349609
"2004-02-06",30.7999992370605,31.0799999237061,30.3549995422363,31.0049991607666,3941200,21.0236339569092
"2004-02-09",31.2999992370605,31.2999992370605,30.4699993133545,30.5200004577637,5730400,20.6947765350342
"2004-02-10",30.7999992370605,30.7999992370605,30.2350006103516,30.5499992370605,3785200,20.7151145935059
"2004-02-11",30.5499992370605,32.3849983215332,30.3999996185303,32.25,6068800,21.8678398132324
"2004-02-12",32.2249984741211,32.560001373291,32.1349983215332,32.3800010681152,3161200,21.9559841156006
"2004-02-13",32.4749984741211,32.6500015258789,31.8850002288818,32.0050010681152,2893400,21.7017059326172
"2004-02-17",33.5499992370605,33.9000015258789,33.0999984741211,33.5,10167200,22.7154312133789
"2004-02-18",33.5,33.6749992370605,33.25,33.3250007629395,3410400,22.5967674255371
"2004-02-19",33.4949989318848,33.7550010681152,33.1150016784668,33.1150016784668,3014000,22.4543685913086
"2004-02-20",33.2750015258789,33.2750015258789,32.3499984741211,32.6599998474121,3014400,22.145845413208
"2004-02-23",32.875,32.9000015258789,32.3499984741211,32.6949996948242,2478600,22.1695804595947
"2004-02-24",32.5750007629395,32.8250007629395,32.2249984741211,32.2949981689453,2935800,21.8983516693115
"2004-02-25",32.3400001525879,32.564998626709,32.2400016784668,32.4650001525879,3540600,22.0136260986328
"2004-02-26",32.4850006103516,32.9749984741211,32.3499984741211,32.8499984741211,3279800,22.2746772766113
"2004-02-27",32.1949996948242,32.8250007629395,32.1150016784668,32.1150016784668,4668400,21.7762966156006
"2004-03-01",32.5250015258789,32.9650001525879,32.4000015258789,32.6549987792969,3090600,22.1424541473389
"2004-03-02",32.6800003051758,32.9949989318848,32.3800010681152,32.4749984741211,2392800,22.0203990936279
"2004-03-03",32.4799995422363,32.5800018310547,32.2099990844727,32.5299987792969,2779200,22.0576972961426
"2004-03-04",32.5149993896484,32.5200004577637,31.9799995422363,32.4500007629395,2904400,22.0034484863281
"2004-03-05",32.125,32.9799995422363,32.1049995422363,32.9099998474121,3031600,22.3153705596924
"2004-03-08",32.9150009155273,33.2599983215332,32.8199996948242,32.9249992370605,2358400,22.3255424499512
"2004-03-09",33.2249984741211,33.4900016784668,32.9700012207031,33.3549995422363,4522800,22.6170997619629
"2004-03-10",33.3600006103516,33.3950004577637,31.8449993133545,31.8950004577637,5232800,21.6271190643311
"2004-03-11",31.5750007629395,31.7250003814697,30.9050006866455,30.9650001525879,5397400,20.9965171813965
"2004-03-12",31.375,32.3800010681152,31.375,32.3050003051758,4519200,21.9051303863525
"2004-03-15",32.1800003051758,32.2999992370605,31.7549991607666,31.875,3070600,21.6135597229004
"2004-03-16",32.25,32.6650009155273,32.0800018310547,32.3950004577637,3178800,21.9661617279053
"2004-03-17",32.5149993896484,33.2999992370605,32.4749984741211,33.2350006103516,3371000,22.535737991333
"2004-03-18",33.1549987792969,33.25,32.7000007629395,33.0750007629395,2421400,22.4272441864014
"2004-03-19",33.1500015258789,33.5499992370605,32.8450012207031,33.0950012207031,3558400,22.4408111572266
"2004-03-22",32.6749992370605,32.875,32.1399993896484,32.4799995422363,3118600,22.0237979888916
"2004-03-23",32.625,33.4099998474121,32.625,33.0099983215332,3654800,22.3831748962402
