"Index","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2004-06-23",3.75,4.32499980926514,3.6875,4.30000019073486,43574400,4.30000019073486
"2004-06-24",4.38749980926514,4.4225001335144,4.125,4.19000005722046,8887200,4.19000005722046
"2004-06-25",4.12750005722046,4.1875,3.94749999046326,3.95000004768372,6710000,3.95000004768372
"2004-06-28",4,4.05249977111816,3.85999989509583,4,2270800,4
"2004-06-29",4,4.17500019073486,3.95749998092651,4.09999990463257,2112000,4.09999990463257
"2004-06-30",4.09999990463257,4.2350001335144,4.00750017166138,4.01749992370605,2087600,4.01749992370605
"2004-07-01",4.01999998092651,4.05000019073486,3.97499990463257,4.00750017166138,1754800,4.00750017166138
"2004-07-02",4.02500009536743,4.24499988555908,4.01249980926514,4.24499988555908,993200,4.24499988555908
"2004-07-06",4.23250007629395,4.25,4.11999988555908,4.25,1216800,4.25
"2004-07-07",4.22499990463257,4.22499990463257,4.01249980926514,4.0774998664856,1787600,4.0774998664856
"2004-07-08",4.0774998664856,4.0774998664856,3.91499996185303,3.93499994277954,2179200,3.93499994277954
"2004-07-09",3.98499989509583,4.14249992370605,3.97499990463257,4.09999990463257,596800,4.09999990463257
"2004-07-12",4.15000009536743,4.20749998092651,4.03749990463257,4.1875,780800,4.1875
"2004-07-13",4.18499994277954,4.18499994277954,4.01999998092651,4.01999998092651,1674000,4.01999998092651
"2004-07-14",4.01249980926514,4.01249980926514,3.89499998092651,3.91249990463257,2366000,3.91249990463257
"2004-07-15",3.9375,3.95000004768372,3.73499989509583,3.83500003814697,1806000,3.83500003814697
"2004-07-16",3.84999990463257,4.09999990463257,3.74000000953674,4,3278800,4
"2004-07-19",4.01249980926514,4.04250001907349,3.95749998092651,4.00250005722046,954800,4.00250005722046
"2004-07-20",4.00250005722046,4.04500007629395,3.8824999332428,4.0149998664856,2245200,4.0149998664856
"2004-07-21",4.02500009536743,4.02500009536743,2.76250004768372,2.92499995231628,25415200,2.92499995231628
"2004-07-22",2.88750004768372,3.29500007629395,2.82500004768372,3.24499988555908,9824800,3.24499988555908
"2004-07-23",3.23749995231628,3.375,3.1875,3.25999999046326,1674400,3.25999999046326
"2004-07-26",3.38750004768372,3.38750004768372,3.22000002861023,3.3199999332428,1286000,3.3199999332428
"2004-07-27",3.34500002861023,3.35750007629395,3.27500009536743,3.28500008583069,751200,3.28500008583069
"2004-07-28",3.26250004768372,3.3050000667572,3.15000009536743,3.24749994277954,1534800,3.24749994277954
"2004-07-29",3.25,3.33750009536743,3.23749995231628,3.24000000953674,908000,3.24000000953674
"2004-07-30",3.24000000953674,3.29999995231628,3.13750004768372,3.25250005722046,815200,3.25250005722046
"2004-08-02",3.24499988555908,3.26999998092651,3.14249992370605,3.20250010490417,1297600,3.20250010490417
"2004-08-03",3.20000004768372,3.27250003814697,2.99749994277954,3.03250002861023,2944400,3.03250002861023
"2004-08-04",3.03250002861023,3.03749990463257,2.98749995231628,2.99499988555908,2746800,2.99499988555908
"2004-08-05",2.99749994277954,2.99749994277954,2.67000007629395,2.72499990463257,3030400,2.72499990463257
"2004-08-06",2.72499990463257,2.75,2.67750000953674,2.69250011444092,1797200,2.69250011444092
"2004-08-09",2.73749995231628,2.76250004768372,2.71499991416931,2.74749994277954,1121600,2.74749994277954
"2004-08-10",2.75,2.75999999046326,2.72000002861023,2.75,733200,2.75
"2004-08-11",2.73749995231628,2.73749995231628,2.64750003814697,2.65499997138977,628400,2.65499997138977
"2004-08-12",2.6800000667572,2.68249988555908,2.48000001907349,2.49749994277954,1578000,2.49749994277954
"2004-08-13",2.49749994277954,2.51250004768372,2.3675000667572,2.39750003814697,2496000,2.39750003814697
"2004-08-16",2.40000009536743,2.46250009536743,2.25,2.4300000667572,2171200,2.4300000667572
"2004-08-17",2.47000002861023,2.74749994277954,2.47000002861023,2.7425000667572,2968000,2.7425000667572
"2004-08-18",2.72499990463257,3.03749990463257,2.67000007629395,2.98749995231628,1697600,2.98749995231628
"2004-08-19",2.98749995231628,3.0625,2.92499995231628,3.04250001907349,1309600,3.04250001907349
"2004-08-20",3.125,3.29999995231628,2.97250008583069,3.15000009536743,4034800,3.15000009536743
