Date,Close
2023/12/13,"4,707.09"
2023/12/12,"4,643.70"
2023/12/11,"4,622.44"
2023/12/8,"4,604.37"
2023/12/7,"4,585.59"
2023/12/6,"4,549.34"
2023/12/5,"4,567.18"
2023/12/4,"4,569.78"
2023/12/1,"4,594.63"
2023/11/30,"4,567.80"
2023/11/29,"4,550.58"
2023/11/28,"4,554.89"
2023/11/27,"4,550.43"
2023/11/24,"4,559.34"
2023/11/22,"4,556.62"
2023/11/21,"4,538.19"
2023/11/20,"4,547.38"
2023/11/17,"4,514.02"
2023/11/16,"4,508.24"
2023/11/15,"4,502.88"
2023/11/14,"4,495.70"
2023/11/13,"4,411.55"
2023/11/10,"4,415.24"
2023/11/9,"4,347.35"
2023/11/8,"4,382.78"
2023/11/7,"4,378.38"
2023/11/6,"4,365.98"
2023/11/3,"4,358.34"
2023/11/2,"4,317.78"
2023/11/1,"4,237.86"
2023/10/31,"4,193.80"
2023/10/30,"4,166.82"
2023/10/27,"4,117.37"
2023/10/26,"4,137.23"
2023/10/25,"4,186.77"
2023/10/24,"4,247.68"
2023/10/23,"4,217.04"
2023/10/20,"4,224.16"
2023/10/19,"4,278.00"
2023/10/18,"4,314.60"
2023/10/17,"4,373.20"
2023/10/16,"4,373.63"
2023/10/13,"4,327.78"
2023/10/12,"4,349.61"
2023/10/11,"4,376.95"
2023/10/10,"4,358.24"
2023/10/9,"4,335.66"
2023/10/6,"4,308.50"
2023/10/5,"4,258.19"
2023/10/4,"4,263.75"
2023/10/3,"4,229.45"
2023/10/2,"4,288.39"
2023/9/29,"4,288.05"
2023/9/28,"4,299.70"
2023/9/27,"4,274.51"
2023/9/26,"4,273.53"
2023/9/25,"4,337.44"
2023/9/22,"4,320.06"
2023/9/21,"4,330.00"
2023/9/20,"4,402.20"
2023/9/19,"4,443.95"
2023/9/18,"4,453.53"
2023/9/15,"4,450.32"
2023/9/14,"4,505.10"
2023/9/13,"4,467.44"
2023/9/12,"4,461.90"
2023/9/11,"4,487.46"
2023/9/8,"4,457.49"
2023/9/7,"4,451.14"
2023/9/6,"4,465.48"
2023/9/5,"4,496.83"
2023/9/1,"4,515.77"
2023/8/31,"4,507.66"
2023/8/30,"4,514.87"
2023/8/29,"4,497.63"
2023/8/28,"4,433.31"
2023/8/25,"4,405.71"
2023/8/24,"4,376.31"
2023/8/23,"4,436.01"
2023/8/22,"4,387.55"
2023/8/21,"4,399.77"
2023/8/18,"4,369.71"
