"Index","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2003-10-30",175.043533325195,175.644027709961,172.881759643555,173.422210693359,3487255,102.23152923584
"2003-10-31",173.842544555664,175.644027709961,173.842544555664,174.202850341797,2808312,102.691650390625
"2003-11-03",174.44303894043,175.704071044922,172.941818237305,172.941818237305,3018573,101.94832611084
"2003-11-04",173.001861572266,173.001861572266,170.539840698242,172.101119995117,3165352,101.452735900879
"2003-11-05",170.599899291992,171.620727539062,169.639099121094,170.719985961914,2854424,100.638526916504
"2003-11-06",169.939346313477,170.780044555664,168.438125610352,170.780044555664,2624946,100.673973083496
"2003-11-07",171.38053894043,171.740829467773,168.498168945312,168.858459472656,2997257,99.5411376953125
"2003-11-10",169.519012451172,169.579055786133,168.678314208984,169.158706665039,2337731,99.7181701660156
"2003-11-11",169.038604736328,169.27880859375,167.957717895508,168.798416137695,2626278,99.5057830810547
"2003-11-12",168.858459472656,172.941818237305,168.738357543945,172.341323852539,3936836,101.594329833984
"2003-11-13",171.740829467773,172.521469116211,169.038604736328,170.179550170898,4152825,100.31999206543
"2003-11-14",169.639099121094,169.819244384766,167.23713684082,167.417282104492,4585104,98.6916275024414
"2003-11-17",166.15625,173.242065429688,164.354766845703,166.996932983398,3913605,98.4437942504883
"2003-11-18",170.659942626953,173.662399291992,170.539840698242,170.780044555664,6843334,100.673973083496
"2003-11-19",174.142791748047,177.325408935547,173.842544555664,176.965118408203,7477264,104.320030212402
"2003-11-20",174.863388061523,176.905059814453,172.881759643555,173.842544555664,4064581,102.47932434082
"2003-11-21",174.623184204102,179.847473144531,171.32048034668,171.500625610352,4155273,101.098739624023
"2003-11-24",173.001861572266,173.782501220703,171.860931396484,172.641571044922,3042986,101.771362304688
"2003-11-25",172.761657714844,174.743286132812,171.860931396484,173.602355957031,2717270,102.337684631348
"2003-11-26",174.803344726562,174.923431396484,171.32048034668,172.761657714844,2520848,101.842124938965
"2003-11-28",173.242065429688,173.54231262207,172.041076660156,172.161178588867,1394222,101.488121032715
"2003-12-01",175.343780517578,175.403823852539,172.821716308594,174.322952270508,3302240,102.762481689453
"2003-12-02",174.322952270508,177.025161743164,173.842544555664,177.025161743164,4030925,104.355407714844
"2003-12-03",177.685699462891,178.346237182617,176.064376831055,177.265365600586,4174341,104.497024536133
"2003-12-04",176.544769287109,177.445510864258,174.743286132812,175.043533325195,3267518,103.187255859375
"2003-12-05",175.103591918945,176.544769287109,174.202850341797,174.743286132812,2284125,103.010223388672
"2003-12-08",175.043533325195,176.60481262207,175.043533325195,176.364624023438,2510773,103.96598815918
"2003-12-09",177.145263671875,179.006790161133,176.784957885742,177.505554199219,4110377,104.638618469238
"2003-12-10",178.046005249023,178.466339111328,177.385452270508,178.466339111328,3813337,105.20499420166
"2003-12-11",178.586441040039,182.970031738281,178.586441040039,182.549697875977,4774348,107.612144470215
"2003-12-12",181.8291015625,182.84992980957,179.847473144531,180.808258056641,3430351,106.585563659668
"2003-12-15",183.690628051758,183.750671386719,180.808258056641,182.129348754883,4494545,107.364295959473
"2003-12-16",182.669784545898,184.95166015625,181.408752441406,184.050918579102,4281403,108.497077941895
"2003-12-17",184.050918579102,184.531311035156,182.789886474609,184.531311035156,3607606,108.780288696289
"2003-12-18",185.372009277344,185.612197875977,184.531311035156,185.251907348633,4060551,109.205055236816
"2003-12-19",185.492111206055,186.152648925781,183.210235595703,185.492111206055,4212510,109.346656799316
"2003-12-22",184.95166015625,186.152648925781,184.531311035156,186.152648925781,2709693,109.736000061035
"2003-12-23",185.852401733398,187.894073486328,185.612197875977,186.753143310547,2572739,110.090072631836
"2003-12-24",186.452896118164,186.512939453125,184.891616821289,185.552154541016,966790,109.381996154785
"2003-12-26",185.492111206055,185.972503662109,184.351165771484,184.471267700195,847471,108.74486541748
"2003-12-29",184.351165771484,185.131805419922,183.270278930664,185.131805419922,2770143,109.849403381348
"2003-12-30",185.131805419922,185.311950683594,183.630569458008,184.471267700195,2339130,109.457450866699
"2003-12-31",183.930816650391,186.03254699707,183.630569458008,186.03254699707,2803016,110.383865356445
