"Index","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2003-10-30",93.4499969482422,94,93.1699981689453,93.4300003051758,4359700,69.7250747680664
"2003-10-31",93.4300003051758,94.8899993896484,93.4300003051758,93.9000015258789,3561200,70.0758285522461
"2003-11-03",94.6500015258789,96.8000030517578,94.5500030517578,96.1900024414062,5128000,71.7848205566406
"2003-11-04",96.1999969482422,96.1999969482422,94.7099990844727,95.9499969482422,3024200,71.6056976318359
"2003-11-05",95.9499969482422,96.25,94.2600021362305,95.4700012207031,4089800,71.2474746704102
"2003-11-06",95.4700012207031,96.6900024414062,94.6500015258789,96.5299987792969,3294500,72.0385360717773
"2003-11-07",96.5299987792969,97.3899993896484,96.1999969482422,96.9800033569336,3537700,72.3743515014648
"2003-11-10",96.9800033569336,96.9800033569336,95.5800018310547,96.0800018310547,3144100,71.7027282714844
"2003-11-11",96.0899963378906,96.3499984741211,95.4499969482422,96.0999984741211,1801200,71.7176513671875
"2003-11-12",95.9499969482422,96.8499984741211,95.6800003051758,96.6999969482422,2237700,72.1653900146484
"2003-11-13",96.7099990844727,96.7099990844727,94.5199966430664,96.0199966430664,1991600,71.6579284667969
"2003-11-14",96.0899963378906,96.6900024414062,93.4499969482422,93.8000030517578,3642800,70.0011825561523
"2003-11-17",93.8099975585938,94.6999969482422,93.1399993896484,94.25,3130100,70.337043762207
"2003-11-18",95,95.0500030517578,93.3499984741211,93.7300033569336,2454400,69.9489669799805
"2003-11-19",93.3000030517578,94.0199966430664,93.1999969482422,93.9300003051758,2768900,70.0981750488281
"2003-11-20",93.75,93.9300003051758,91.6999969482422,91.7600021362305,3723700,68.4787902832031
"2003-11-21",92.3499984741211,93.3000030517578,92.0899963378906,92.9700012207031,3075500,69.3817825317383
"2003-11-24",93.9499969482422,95.0899963378906,93.5,94.9199981689453,2544200,70.8370590209961
"2003-11-25",95.9499969482422,96.6399993896484,95.5899963378906,96.25,3013900,71.8296051025391
"2003-11-26",96.4899978637695,96.6999969482422,95.370002746582,96.6699981689453,2038900,72.1430206298828
"2003-11-28",96.6699981689453,97.0999984741211,95.7600021362305,96.0800018310547,1040000,71.7027282714844
"2003-12-01",96.2300033569336,97.7699966430664,96.2300033569336,97.4800033569336,3381800,72.7474975585938
"2003-12-02",97.8000030517578,98.75,97.2600021362305,97.4000015258789,3055100,72.6877975463867
"2003-12-03",98.25,100,97.9000015258789,99.2900009155273,4459800,74.0982971191406
"2003-12-04",99.379997253418,99.5,98.3199996948242,98.7300033569336,2085400,73.6803894042969
"2003-12-05",98.7300033569336,99.3099975585938,97.5999984741211,98.0299987792969,2558100,73.157958984375
"2003-12-08",97.8000030517578,98.8000030517578,97.4499969482422,98.8000030517578,1822500,73.7325973510742
"2003-12-09",98.8000030517578,98.9000015258789,97.5999984741211,98.1999969482422,2408100,73.2848281860352
"2003-12-10",98.1999969482422,99.5,97.2399978637695,97.5999984741211,2995400,72.8370590209961
"2003-12-11",97.9700012207031,99.1100006103516,97.4499969482422,98.3399963378906,2323600,73.3893051147461
"2003-12-12",98.5,99.3600006103516,97.9700012207031,99.1500015258789,1720300,73.9937973022461
"2003-12-15",99.9300003051758,100.779998779297,97.75,97.75,3164600,72.9489822387695
