"Index","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2003-10-30",61.9199981689453,61.9199981689453,60.4599990844727,60.8499984741211,331200,30.5381412506104
"2003-10-31",60.7000007629395,61.2599983215332,59.8800010681152,59.8800010681152,257700,30.0513439178467
"2003-11-03",60,61.4500007629395,60,61.3199996948242,154600,30.7740249633789
"2003-11-04",61,61.4700012207031,60.8199996948242,61.4700012207031,90900,30.8492946624756
"2003-11-05",61.4700012207031,61.4700012207031,60.4099998474121,61.3499984741211,63200,30.7890777587891
"2003-11-06",61.4500007629395,62.5099983215332,60.7999992370605,62.5099983215332,199100,31.371223449707
"2003-11-07",62.75,63.2400016784668,61.9000015258789,61.9700012207031,199700,31.1002197265625
"2003-11-10",61.7999992370605,62.0699996948242,61.4799995422363,61.7099990844727,100700,30.9697399139404
"2003-11-11",61.5999984741211,61.6500015258789,61.1800003051758,61.5,55200,30.8643550872803
"2003-11-12",61.5,62.7200012207031,61.4199981689453,62.7200012207031,107200,31.4766273498535
"2003-11-13",62.6500015258789,63,62.2000007629395,62.7999992370605,58400,31.5167617797852
"2003-11-14",62.9000015258789,63.3699989318848,62.4900016784668,62.8800010681152,66700,31.5569152832031
"2003-11-17",62.7999992370605,62.7999992370605,61.7999992370605,62.75,96900,31.491678237915
"2003-11-18",62.9000015258789,63.0400009155273,61.9799995422363,62.1699981689453,96100,31.2005977630615
"2003-11-19",62.0200004577637,62.439998626709,61.8199996948242,62.0999984741211,91800,31.1654682159424
"2003-11-20",62.1500015258789,62.3300018310547,61.7000007629395,62.2799987792969,102900,31.2558040618896
"2003-11-21",62.4000015258789,62.5699996948242,62.0400009155273,62.5,204500,31.3662090301514
"2003-11-24",62.5,62.9500007629395,62.25,62.5299987792969,122200,31.3812618255615
"2003-11-25",62.7000007629395,63.0999984741211,62.5900001525879,63.0999984741211,97100,31.6673259735107
"2003-11-26",63.5,63.75,63.3300018310547,63.75,115200,31.9935283660889
"2003-11-28",63.9000015258789,64.1600036621094,63.8300018310547,63.9500007629395,52400,32.0939025878906
"2003-12-01",64.0999984741211,64.8300018310547,64.0800018310547,64.6999969482422,68600,32.4703025817871
"2003-12-02",64.8000030517578,65,64.6999969482422,64.9800033569336,118500,32.6108207702637
"2003-12-03",64.9000015258789,65.4199981689453,64.8000030517578,64.8000030517578,114400,32.5204849243164
"2003-12-04",64.8000030517578,64.9700012207031,64.5599975585938,64.620002746582,132600,32.4301452636719
"2003-12-05",64.629997253418,64.9499969482422,64.5199966430664,64.6699981689453,101200,32.4552459716797
"2003-12-08",64.5,65.1999969482422,64.5,65.1100006103516,53400,32.6760635375977
"2003-12-09",65.25,65.3899993896484,64.75,65.1699981689453,44700,32.706169128418
"2003-12-10",65,65.0199966430664,64.75,64.9000015258789,40800,32.5706825256348
"2003-12-11",65,65.5100021362305,65,65.4899978637695,78900,32.8667755126953
"2003-12-12",65.5899963378906,66.3300018310547,65.5800018310547,66.0800018310547,108500,33.1628723144531
"2003-12-15",66.5999984741211,66.5999984741211,65.1999969482422,65.25,55400,32.7463302612305
"2003-12-16",64.4000015258789,64.8300018310547,64.3600006103516,64.75,112000,32.4953880310059
"2003-12-17",64.9000015258789,65,64.5100021362305,64.879997253418,46900,32.5606346130371
"2003-12-18",64.9000015258789,65.4000015258789,64.5400009155273,64.8499984741211,44300,32.5455780029297
"2003-12-19",65,65.1500015258789,64.7900009155273,65.1500015258789,93000,32.6961479187012
"2003-12-22",65.1500015258789,65.6399993896484,65.0999984741211,65.6399993896484,78600,32.9420509338379
"2003-12-23",65.6999969482422,66.0299987792969,65.1900024414062,65.3499984741211,95400,32.796516418457
"2003-12-24",65.5999984741211,65.8199996948242,65.5299987792969,65.7300033569336,94000,32.9872131347656
"2003-12-26",65.8300018310547,66,65.8300018310547,65.879997253418,28200,33.0625
"2003-12-29",65.1699981689453,65.4000015258789,64.9000015258789,64.9899978637695,183800,33.0066223144531
"2003-12-30",64.9499969482422,65.2300033569336,64.9499969482422,65.0100021362305,52400,33.0167846679688
"2003-12-31",65.120002746582,65.1999969482422,64.2200012207031,64.2200012207031,109900,32.6155776977539
"2004-01-02",64.2300033569336,64.5500030517578,64.0199966430664,64.1399993896484,54800,32.5749435424805
"2004-01-05",64.3000030517578,64.5999984741211,63.2900009155273,63.3499984741211,139300,32.1737213134766
"2004-01-06",63.5,63.5099983215332,62.8199996948242,62.9900016784668,85300,31.9908790588379
"2004-01-07",62.7999992370605,63.1300010681152,62.5,62.7799987792969,164400,31.8842239379883
"2004-01-08",62.8800010681152,63.0099983215332,62.5,62.7299995422363,439000,31.8588409423828
"2004-01-09",62.7000007629395,62.8699989318848,62.3600006103516,62.5800018310547,223300,31.7826690673828
"2004-01-12",62.6800003051758,62.9500007629395,61.810001373291,62,393800,31.4880924224854
"2004-01-13",62.1500015258789,62.3600006103516,61.3499984741211,62.3600006103516,101200,31.6709327697754
"2004-01-14",62.4599990844727,62.9000015258789,62.0800018310547,62.9000015258789,68000,31.9451808929443
"2004-01-15",62.8899993896484,63.1500015258789,62.3800010681152,62.5499992370605,49300,31.7674312591553
"2004-01-16",62.7000007629395,62.7999992370605,61.8499984741211,61.9000015258789,91500,31.4373035430908
"2004-01-20",62,62.2099990844727,60.6500015258789,60.6500015258789,129900,30.802453994751
"2004-01-21",60.7799987792969,61.3199996948242,60.75,61.2599983215332,87400,31.1122589111328
"2004-01-22",61.3499984741211,61.7099990844727,61.2999992370605,61.4599990844727,84800,31.2138347625732
"2004-01-23",61.4000015258789,62.0699996948242,60.7999992370605,61.5699996948242,122600,31.2697162628174
