"Index","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume","BWA.Adjusted"
"2003-10-30",8.83032608032227,8.89414596557617,8.81822204589844,8.84022903442383,1746714,6.97747468948364
"2003-10-31",8.8655366897583,8.89304637908936,8.75660228729248,8.7577018737793,1090560,6.91233921051025
"2003-11-03",8.77530765533447,8.828125,8.77530765533447,8.779709815979,1496794,6.92970609664917
"2003-11-04",8.80281734466553,8.93485927581787,8.6267614364624,8.91065120697021,2870899,7.03305864334106
"2003-11-05",8.91285228729248,8.97006988525391,8.66527271270752,8.77420806884766,4952960,6.92536401748657
"2003-11-06",8.77530765533447,8.88314342498779,8.70598602294922,8.8798418045044,2749120,7.0087399482727
"2003-11-07",8.91835403442383,8.91835403442383,8.79401397705078,8.80941867828369,1760346,6.95315361022949
"2003-11-10",8.80831909179688,8.828125,8.68838024139404,8.69278240203857,2147494,6.86109685897827
"2003-11-11",8.70378494262695,8.73679637908936,8.642165184021,8.64326572418213,1963008,6.82201385498047
"2003-11-12",8.64876842498779,8.74339771270752,8.64876842498779,8.72579193115234,2935424,6.88715124130249
"2003-11-13",8.72579193115234,8.97117137908936,8.7092866897583,8.95246505737305,2018445,7.06606245040894
"2003-11-14",8.95246505737305,9.01188373565674,8.82702541351318,8.83032608032227,2851814,6.9696569442749
"2003-11-17",8.83032608032227,8.83032608032227,8.62125873565674,8.71809005737305,1506790,6.88107013702393
"2003-11-18",8.71918964385986,8.71918964385986,8.42429637908936,8.42429637908936,5033843,6.64918756484985
"2003-11-19",8.41769409179688,8.44410228729248,8.1954231262207,8.37698078155518,4504922,6.61183977127075
"2003-11-20",8.329665184021,8.37368011474609,8.21963024139404,8.23393535614014,2466483,6.49893569946289
"2003-11-21",8.28015041351318,8.467209815979,8.22843265533447,8.43970108032227,2738214,6.66134357452393
"2003-11-24",8.47271060943604,8.67077541351318,8.47271060943604,8.59815120697021,2270182,6.78640699386597
"2003-11-25",8.62565994262695,8.68177795410156,8.61025524139404,8.65316867828369,1952102,6.82983016967773
"2003-11-26",8.65316867828369,8.66747379302979,8.5486364364624,8.64106464385986,1942106,6.82027721405029
"2003-11-28",8.65977096557617,8.71588897705078,8.65977096557617,8.69278240203857,577997,6.86109685897827
"2003-12-01",8.75330066680908,8.81492137908936,8.75330066680908,8.78631210327148,2175667,6.93491888046265
"2003-12-02",8.77530765533447,8.85673427581787,8.73349475860596,8.80281734466553,1659469,6.94794607162476
"2003-12-03",8.83032608032227,8.98657608032227,8.83032608032227,8.86663722991943,2196570,6.99831533432007
"2003-12-04",8.857834815979,8.89744663238525,8.75440120697021,8.78411102294922,2391053,6.93318462371826
"2003-12-05",8.75660228729248,8.80501842498779,8.73679637908936,8.76760578155518,1781248,6.92015314102173
"2003-12-08",8.78081035614014,8.96016693115234,8.78081035614014,8.89414596557617,3069018,7.02003049850464
"2003-12-09",8.90294933319092,8.96786975860596,8.81492137908936,8.84683132171631,1960282,6.98268461227417
"2003-12-10",8.84683132171631,8.88204193115234,8.77860927581787,8.77860927581787,2054797,6.92884016036987
"2003-12-11",8.80061626434326,9.06800174713135,8.80061626434326,9.014084815979,1751258,7.11469554901123
"2003-12-12",9.05919933319092,9.15382862091064,9.05919933319092,9.11311626434326,2455578,7.19286012649536
"2003-12-15",9.29797458648682,9.31227970123291,9.1329231262207,9.16373157501221,2406502,7.23281097412109
"2003-12-16",9.14942836761475,9.1736364364624,9.05589771270752,9.09331035614014,2112960,7.17722749710083
"2003-12-17",9.09331035614014,9.17693710327148,9.08780765533447,9.16923427581787,1536781,7.23715353012085
"2003-12-18",9.16923427581787,9.32438373565674,9.16593265533447,9.28587055206299,936973,7.32921457290649
"2003-12-19",9.2704668045044,9.30237674713135,9.23415470123291,9.29577541351318,1119642,7.33702850341797
"2003-12-22",9.26826572418213,9.38050174713135,9.26826572418213,9.31998157501221,1823053,7.35613584518433
"2003-12-23",9.31998157501221,9.39700698852539,9.24295806884766,9.29797458648682,1203251,7.33876419067383
"2003-12-24",9.25396060943604,9.31448078155518,9.25396060943604,9.31227970123291,229018,7.35005807876587
"2003-12-26",9.32548427581787,9.33868789672852,9.30897903442383,9.31338024139404,208115,7.35092544555664
"2003-12-29",9.33648777008057,9.39040470123291,9.30897903442383,9.38930511474609,1424090,7.41085147857666
"2003-12-30",9.4080114364624,9.4080114364624,9.31998157501221,9.33648777008057,870630,7.36916303634644
"2003-12-31",9.36399555206299,9.38600444793701,9.32548427581787,9.36069488525391,793382,7.38826847076416
"2004-01-02",9.36949825286865,9.44322204589844,9.36949825286865,9.39590740203857,1345024,7.41606330871582
"2004-01-05",9.39480590820312,9.46963024139404,9.39480590820312,9.46192836761475,1728538,7.46817302703857
"2004-01-06",9.48943710327148,9.6875,9.4861364364624,9.67539596557617,1979366,7.63666009902954
"2004-01-07",9.69410228729248,9.72271060943604,9.67649555206299,9.69080066680908,2497382,7.64881658554077
"2004-01-08",9.74361801147461,9.87125873565674,9.74361801147461,9.85915470123291,2235648,7.78169870376587
"2004-01-09",9.84815120697021,9.92407608032227,9.80523777008057,9.86465740203857,2076608,7.78603887557983
"2004-01-12",9.86465740203857,9.93507862091064,9.85915470123291,9.93397903442383,1212339,7.84075450897217
