"Index","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2003-10-30",48.1199989318848,48.1500015258789,47.3499984741211,48.0099983215332,3520100,27.9130458831787
"2003-10-31",48.2200012207031,48.2400016784668,47.3499984741211,47.8199996948242,4633900,27.8025779724121
"2003-11-03",47.810001373291,48.0299987792969,47.5999984741211,47.8199996948242,2836800,27.8025779724121
"2003-11-04",47.8199996948242,47.9099998474121,47.6300010681152,47.75,2630200,27.7618732452393
"2003-11-05",47.5499992370605,47.7999992370605,46.7599983215332,47.3800010681152,4366500,27.5467586517334
"2003-11-06",47.0499992370605,47.9900016784668,46.689998626709,47.9700012207031,3731600,27.8897705078125
"2003-11-07",47.9199981689453,47.939998626709,47.2599983215332,47.4900016784668,3568600,27.6107063293457
"2003-11-10",47.3499984741211,47.5099983215332,47.0999984741211,47.4099998474121,2184900,27.5642032623291
"2003-11-11",47.2999992370605,47.9700012207031,47.2900009155273,47.9300003051758,3072800,27.8665199279785
"2003-11-12",47.9000015258789,48.2299995422363,47.7099990844727,48.060001373291,3216700,27.9421119689941
"2003-11-13",47.8300018310547,47.9500007629395,47.25,47.5,3721900,27.6165313720703
"2003-11-14",47.5,47.75,47,47.3300018310547,2815800,27.5176811218262
"2003-11-17",47.3300018310547,47.9000015258789,46.9000015258789,47.6699981689453,2874500,27.7153606414795
"2003-11-18",47.8499984741211,48,47.2000007629395,47.2000007629395,2679600,27.4420986175537
"2003-11-19",47.4000015258789,47.9900016784668,47.2000007629395,47.939998626709,3545500,27.8723316192627
"2003-11-20",47.939998626709,47.939998626709,47.2099990844727,47.2700004577637,3275600,27.4828033447266
"2003-11-21",47.5499992370605,47.6199989318848,47.25,47.5099983215332,2397100,27.62233543396
"2003-11-24",47.5200004577637,48.2400016784668,47.2999992370605,48,3685300,27.9072246551514
"2003-11-25",47.7999992370605,48,47.5499992370605,47.75,4542800,27.7618732452393
"2003-11-26",48,48.2400016784668,47.2999992370605,47.9599990844727,4333300,27.8839569091797
"2003-11-28",47.9300003051758,48.2000007629395,47.7999992370605,48.1199989318848,1512600,27.9769878387451
"2003-12-01",48.0099983215332,48.8699989318848,47.9000015258789,48.7099990844727,4545700,28.3200244903564
