"Index","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2003-10-30",16.4650001525879,16.5249996185303,15.9650001525879,16.0750007629395,3306400,8.89591979980469
"2003-10-31",16.1499996185303,16.3050003051758,16.1000003814697,16.2299995422363,2382600,8.98169898986816
"2003-11-03",16.2800006866455,16.2800006866455,16.1200008392334,16.1900005340576,959400,8.95956516265869
"2003-11-04",16.1049995422363,16.1849994659424,15.9499998092651,16.1100006103516,1058400,8.91529369354248
"2003-11-05",16.1149997711182,16.1650009155273,16.0249996185303,16.1299991607666,652200,8.92635631561279
"2003-11-06",16.1299991607666,16.1299991607666,15.9049997329712,16.0949993133545,865200,8.90699100494385
"2003-11-07",16.0949993133545,17.2999992370605,16.0949993133545,17.2600002288818,4777800,9.5516996383667
"2003-11-10",17.2900009155273,17.2900009155273,16.9850006103516,17.0249996185303,1319800,9.42165184020996
"2003-11-11",17.0400009155273,17.1949996948242,16.9099998474121,17.1100006103516,1550000,9.4686918258667
"2003-11-12",17.1700000762939,17.3500003814697,17.0949993133545,17.2999992370605,679000,9.57383823394775
"2003-11-13",17.3999996185303,17.5550003051758,17.25,17.5100002288818,1035400,9.6900520324707
"2003-11-14",17.5100002288818,17.7250003814697,17.4599990844727,17.5149993896484,1105600,9.69281482696533
"2003-11-17",17.5149993896484,17.5149993896484,17.0949993133545,17.2999992370605,827200,9.57383823394775
"2003-11-18",17.25,17.3400001525879,17.1599998474121,17.1650009155273,892400,9.49913311004639
"2003-11-19",17.2000007629395,17.3549995422363,17.1650009155273,17.2350006103516,643200,9.53786659240723
"2003-11-20",17.1599998474121,17.2649993896484,16.9850006103516,17.1100006103516,823000,9.4686918258667
"2003-11-21",17.1499996185303,17.2999992370605,17.0799999237061,17.1800003051758,866400,9.5074291229248
"2003-11-24",17.25,17.5249996185303,17.25,17.5200004577637,1122200,9.69558811187744
"2003-11-25",17.6000003814697,17.7999992370605,17.4699993133545,17.7700004577637,1082800,9.83393573760986
"2003-11-26",17.7700004577637,17.9799995422363,17.7700004577637,17.9300003051758,1118600,9.92247867584229
"2003-11-28",17.8999996185303,17.9850006103516,17.8099994659424,17.8349990844727,320200,9.86991024017334
"2003-12-01",17.9549999237061,18.4750003814697,17.9549999237061,18.4599990844727,1558400,10.2157754898071
"2003-12-02",18.4650001525879,18.6399993896484,18.3600006103516,18.4950008392334,1340000,10.2351493835449
"2003-12-03",18.4950008392334,18.6749992370605,18.4899997711182,18.5249996185303,901800,10.2517509460449
"2003-12-04",18.6049995422363,18.7700004577637,18.4799995422363,18.7000007629395,943200,10.3485975265503
"2003-12-05",18.6450004577637,18.6450004577637,18.3250007629395,18.4799995422363,890400,10.2268533706665
"2003-12-08",18.4300003051758,18.9050006866455,18.4300003051758,18.9050006866455,827800,10.4620475769043
"2003-12-09",19.0550003051758,19.5300006866455,19.0249996185303,19.375,2520600,10.7221441268921
"2003-12-10",19.375,19.4899997711182,19.0750007629395,19.1049995422363,2175600,10.5727272033691
"2003-12-11",18.8500003814697,19.1650009155273,18.5349998474121,19.1200008392334,1443200,10.7042894363403
"2003-12-12",19.1200008392334,19.5,19,19.3799991607666,1423800,10.8498497009277
