"Index","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2003-10-30",50.2999992370605,51.0800018310547,50.2999992370605,50.5699996948242,69200,31.9703254699707
"2003-10-31",50.6699981689453,51.3499984741211,50.5999984741211,51.3499984741211,29700,32.463451385498
"2003-11-03",51.25,51.3400001525879,50.5099983215332,50.6199989318848,84600,32.0019378662109
"2003-11-04",50.5200004577637,50.5200004577637,49.9700012207031,49.9900016784668,96200,31.6036548614502
"2003-11-05",49.8899993896484,49.9300003051758,49,49.9300003051758,2e+05,31.565731048584
"2003-11-06",50.0299987792969,50.1800003051758,49.75,49.7999992370605,171100,31.483549118042
"2003-11-07",49.2999992370605,50.25,49.2999992370605,49.6699981689453,77000,31.4013519287109
"2003-11-10",49.7999992370605,50.8400001525879,49.5200004577637,50.689998626709,91500,32.0461845397949
"2003-11-11",50.5900001525879,50.5900001525879,49.7799987792969,50.2099990844727,52100,31.7427387237549
"2003-11-12",50.1100006103516,50.7999992370605,50.0900001525879,50.7999992370605,27200,32.1157341003418
"2003-11-13",50.7999992370605,51.25,50.5299987792969,51.2099990844727,50700,32.3749351501465
"2003-11-14",51,51.25,49.75,49.75,86500,31.4519271850586
"2003-11-17",49.5,49.9000015258789,49.3899993896484,49.7799987792969,121200,31.4708862304688
"2003-11-18",49.8800010681152,50.439998626709,49.6500015258789,50.1800003051758,38900,31.7237777709961
"2003-11-19",50.3300018310547,50.3300018310547,49.7999992370605,49.9900016784668,61700,31.6036548614502
"2003-11-20",50,50.3499984741211,49.7000007629395,49.9900016784668,55300,31.6036548614502
"2003-11-21",49.8699989318848,50.4500007629395,49.7799987792969,49.8800010681152,46100,31.5341091156006
"2003-11-24",49.9799995422363,50.5699996948242,49.8800010681152,50.3800010681152,60700,31.8502178192139
"2003-11-25",50.4500007629395,50.75,50.4000015258789,50.4000015258789,25600,31.8628578186035
"2003-11-26",50.4500007629395,50.7999992370605,50.2900009155273,50.75,65000,32.0841293334961
"2003-11-28",50.8499984741211,51.1399993896484,50.7999992370605,50.9500007629395,13400,32.2105560302734
"2003-12-01",50.7999992370605,51.5499992370605,50.5200004577637,51.5499992370605,62600,32.7183151245117
"2003-12-02",51.5499992370605,51.75,51.1300010681152,51.75,55900,32.8452606201172
"2003-12-03",51.75,52.1699981689453,51.4500007629395,52.0999984741211,110500,33.0674057006836
"2003-12-04",52,52.9500007629395,51.7200012207031,52.7999992370605,116200,33.5116882324219
"2003-12-05",52.6800003051758,52.6800003051758,51.1199989318848,51.1599998474121,73600,32.4707908630371
"2003-12-08",51.0400009155273,52.0499992370605,51.0400009155273,52.0499992370605,33200,33.0356636047363
"2003-12-09",51.9500007629395,51.9500007629395,51.3300018310547,51.4799995422363,28700,32.6738891601562
"2003-12-10",51.3300018310547,51.3300018310547,50.1300010681152,50.189998626709,41100,31.8551406860352
"2003-12-11",50.189998626709,51,50.0999984741211,51,52700,32.3692474365234
"2003-12-12",50.9000015258789,51.7900009155273,50.6500015258789,51.7900009155273,37900,32.8706398010254
"2003-12-15",52.0400009155273,52.0400009155273,51.5,51.9599990844727,41600,32.9785461425781
"2003-12-16",51.9599990844727,51.9700012207031,51.1199989318848,51.5,51600,32.6865882873535
"2003-12-17",51.5499992370605,52.1699981689453,51.3899993896484,52.1699981689453,52600,33.1118278503418
"2003-12-18",52.1699981689453,52.5999984741211,51.939998626709,52.3400001525879,32600,33.2197341918945
"2003-12-19",52.0900001525879,52.3199996948242,51.4099998474121,52.2700004577637,60200,33.1753005981445
"2003-12-22",52.1699981689453,52.2200012207031,51.5999984741211,51.8400001525879,34300,32.9023666381836
"2003-12-23",51.9599990844727,52.0999984741211,51.7700004577637,51.9599990844727,33200,32.9785461425781
"2003-12-24",52.0499992370605,52.0499992370605,51.75,51.8699989318848,13000,32.9214210510254
"2003-12-26",51.7999992370605,52.2999992370605,51.7999992370605,52.1800003051758,17700,33.1181678771973
"2003-12-29",52.25,53.2299995422363,52.1199989318848,53.2299995422363,42100,33.7845916748047
"2003-12-30",53.1300010681152,53.5699996948242,52.9599990844727,53.5299987792969,15500,33.9750022888184
"2003-12-31",53.6300010681152,53.6300010681152,53.1100006103516,53.1100006103516,17500,33.7084274291992
"2004-01-02",53.1500015258789,54.0499992370605,53.0299987792969,53.9900016784668,85500,34.266960144043
"2004-01-05",54,56.8499984741211,54,56.8499984741211,101900,36.0821762084961
"2004-01-06",56.8499984741211,57.6699981689453,56.8400001525879,57.25,101500,36.3360595703125
"2004-01-07",57.25,58.1399993896484,57.1599998474121,58,77800,36.8120803833008
